Iteration,Trajectory,Legibility
3454,"[[ 0.      -1.5708   1.309    0.       0.92088 -0.     ]
 [-0.05684 -1.38611  1.06585  0.       0.95707  0.00046]
 [-0.08277 -1.30654  0.96089  0.       0.95764  0.00044]
 [-0.10581 -1.23991  0.87462  0.       0.94786  0.00015]
 [-0.1254  -1.1887   0.81102 -0.       2.0944  -0.00001]
 [-0.14408 -1.14176  0.75143 -0.       2.0944  -0.00001]
 [-0.16091 -1.10116  0.69881  0.       0.74816  0.     ]
 [-0.17133 -1.07868  0.66993 -0.       0.40663  0.     ]
 [-0.17556 -1.07232  0.66145  0.      -0.09223 -0.     ]
 [-0.17486 -1.07876  0.66916 -0.      -0.51637  0.     ]
 [-0.16998 -1.0959   0.69072  0.      -0.82193 -0.00001]
 [-0.16149 -1.12224  0.72449 -0.      -1.03809  0.00001]
 [-0.14981 -1.15653  0.76888 -0.      -1.19491  0.     ]
 [-0.13542 -1.19758  0.82228 -0.      -1.3127   0.     ]
 [-0.11873 -1.24422  0.88313  0.      -1.40421 -0.     ]
 [-0.10021 -1.20584  0.94983  0.      -1.47744 -0.     ]
 [-0.08067 -1.18324  1.02008 -0.      -1.53742 -0.     ]
 [-0.06064 -1.17234  1.09184 -0.      -1.5871   0.     ]
 [-0.04044 -1.16992  1.16403  0.      -1.62857  0.     ]
 [-0.      -1.23034  1.309   -0.      -1.67985  0.     ]]","[[0.73018010021565, 0.7919747126385953, 0.23820794087893557], 0.586787584577727]"
Iteration,Trajectory,Legibility
6235,"[[ 0.      -1.5708   1.309   -0.       0.92088 -0.     ]
 [-0.04718 -1.41501  1.16127  0.       0.77269 -0.00004]
 [-0.06117 -1.37179  1.12336 -0.       0.62403  0.     ]
 [-0.0694  -1.34636  1.10351  0.       0.47791 -0.00004]
 [-0.07343 -1.33373  1.09625  0.       0.34008 -0.00003]
 [-0.07449 -1.32991  1.09719  0.       0.21461 -0.00004]
 [-0.07367 -1.33206  1.10324  0.00001  0.10357 -0.00001]
 [-0.07149 -1.33832  1.11235  0.00012  0.00738 -0.00015]
 [-0.06852 -1.34758  1.12332 -0.00001 -0.07461  0.     ]
 [-0.06489 -1.3592   1.13547  0.00001 -0.14357 -0.00001]
 [-0.06075 -1.37291  1.14851 -0.00001 -0.20089  0.00001]
 [-0.05607 -1.38869  1.16243  0.00001 -0.24795 -0.     ]
 [-0.05077 -1.4068   1.17743 -0.      -0.28598  0.00001]
 [-0.04463 -1.42782  1.17461 -0.      -0.31603  0.00001]
 [-0.03806 -1.4502   1.1619   0.      -0.33957 -0.     ]
 [-0.03149 -1.47226  1.14825 -0.      -0.35811  0.     ]
 [-0.02499 -1.49324  1.13355  0.      -0.37293 -0.     ]
 [-0.01853 -1.5128   1.11786  0.      -0.38495 -0.     ]
 [-0.01207 -1.53113  1.1013  -0.      -0.39456  0.     ]
 [ 0.      -1.5708   1.10242  0.      -0.3981  -0.     ]]","[[0.8256864650960546, 0.3584266864985896, 0.3577850727908413], 0.5139660747951619]"
Iteration,Trajectory,Legibility
1,"[[ 0.      -4.02425  1.53257 -0.       0.92088 -0.     ]
 [ 0.00004 -3.8851   1.53356  0.       0.78075 -0.00004]
 [-0.      -3.73782  1.52962 -0.       0.63741  0.     ]
 [ 0.00004 -3.58864  1.52099  0.       0.49686 -0.00004]
 [ 0.00003 -3.44337  1.50817  0.       0.3644  -0.00003]
 [ 0.00004 -3.30627  1.49177  0.       0.2437  -0.00004]
 [-0.      -3.17975  1.4724   0.00001  0.13655 -0.00001]
 [ 0.00003 -3.06462  1.45062  0.00012  0.0432  -0.00015]
 [ 0.      -2.96062  1.42689 -0.00001 -0.03707  0.     ]
 [ 0.00001 -2.86688  1.40158  0.00001 -0.1055  -0.00001]
 [ 0.      -2.7823   1.37499 -0.00001 -0.16349  0.00001]
 [-0.      -2.70572  1.34734  0.00001 -0.21242 -0.     ]
 [-0.00001 -2.63606  1.31881 -0.      -0.25355  0.00001]
 [-0.00001 -2.57234  1.28953 -0.      -0.28798  0.00001]
 [-0.      -2.51372  1.2596   0.      -0.31667 -0.     ]
 [ 0.      -2.45947  1.2291  -0.      -0.34043  0.     ]
 [-0.      -2.40897  1.19809  0.      -0.35992 -0.     ]
 [-0.      -2.36169  1.16662  0.      -0.37573 -0.     ]
 [-0.      -2.31721  1.13473 -0.      -0.38832  0.     ]
 [ 0.      -2.27512  1.10242  0.      -0.3981  -0.     ]]","[[0.39230192244805917, 0.47545332372146865, 0.46047762808418935], 0.4427442914179058]"
Iteration,Trajectory,Legibility
1,"[[ 0.      -4.02425  1.53257 -0.       0.92088 -0.     ]
 [ 0.00004 -3.8851   1.53356  0.       0.78075 -0.00004]
 [-0.      -3.73782  1.52962 -0.       0.63741  0.     ]
 [ 0.00004 -3.58864  1.52099  0.       0.49686 -0.00004]
 [ 0.00003 -3.44337  1.50817  0.       0.3644  -0.00003]
 [ 0.00004 -3.30627  1.49177  0.       0.2437  -0.00004]
 [-0.      -3.17975  1.4724   0.00001  0.13655 -0.00001]
 [ 0.00003 -3.06462  1.45062  0.00012  0.0432  -0.00015]
 [ 0.      -2.96062  1.42689 -0.00001 -0.03707  0.     ]
 [ 0.00001 -2.86688  1.40158  0.00001 -0.1055  -0.00001]
 [ 0.      -2.7823   1.37499 -0.00001 -0.16349  0.00001]
 [-0.      -2.70572  1.34734  0.00001 -0.21242 -0.     ]
 [-0.00001 -2.63606  1.31881 -0.      -0.25355  0.00001]
 [-0.00001 -2.57234  1.28953 -0.      -0.28798  0.00001]
 [-0.      -2.51372  1.2596   0.      -0.31667 -0.     ]
 [ 0.      -2.45947  1.2291  -0.      -0.34043  0.     ]
 [-0.      -2.40897  1.19809  0.      -0.35992 -0.     ]
 [-0.      -2.36169  1.16662  0.      -0.37573 -0.     ]
 [-0.      -2.31721  1.13473 -0.      -0.38832  0.     ]
 [ 0.      -2.27512  1.10242  0.      -0.3981  -0.     ]]","[[0.39230192244805917, 0.47545332372146865, 0.46047762808418935], 0.4427442914179058]"
Iteration,Trajectory,Legibility
1,"[[-0.      -0.39517  1.96964 -0.       3.13792  0.     ]
 [ 0.      -0.25209  1.96866 -0.       2.99582 -0.     ]
 [ 0.      -0.12048  1.97261 -0.       2.86025 -0.     ]
 [ 0.      -0.00431  1.98125 -0.       2.73545 -0.     ]
 [ 0.       0.09477  1.99407 -0.       2.62355 -0.     ]
 [ 0.       0.17709  2.01048 -0.       2.52482 -0.     ]
 [ 0.       0.24423  2.02985  0.       2.43831 -0.     ]
 [ 0.       0.29825  2.05164  0.       2.36249 -0.     ]
 [ 0.       0.34128  2.07538  0.       2.29573 -0.     ]
 [ 0.       0.37522  2.10069  0.       2.23648 -0.     ]
 [ 0.      -2.7823   1.37499  0.      -0.16349 -0.     ]
 [ 0.      -2.70572  1.34734  0.      -0.21242 -0.     ]
 [ 0.      -2.63606  1.31881  0.      -0.25355 -0.     ]
 [-0.      -2.57234  1.28953  0.      -0.28798 -0.     ]
 [-0.      -2.51372  1.2596   0.      -0.31667 -0.     ]
 [-0.      -2.45947  1.2291   0.      -0.34043 -0.     ]
 [-0.      -2.40897  1.19809  0.      -0.35992 -0.     ]
 [-0.      -2.36169  1.16662  0.      -0.37573 -0.     ]
 [-0.      -2.31721  1.13473  0.      -0.38832 -0.     ]
 [ 0.      -2.27512  1.10242 -0.      -0.3981  -0.     ]]","[[0.39230850460245187, 0.4754810529239055, 0.46049336067908697], 0.4427609727351481]"
