Iteration,Trajectory,Legibility
1,"[[1500.      2000.       250.     ]
 [1484.22944 1973.68768  249.99215]
 [1468.44749 1947.37334  249.98911]
 [1452.66425 1921.05881  249.98664]
 [1436.87973 1894.74407  249.98474]
 [1421.09393 1868.4291   249.9834 ]
 [1405.30689 1842.1139   249.98261]
 [1389.51864 1815.79846  249.98234]
 [1373.72925 1789.48277  249.98259]
 [1357.93878 1763.16684  249.98333]
 [1342.14734 1736.85067  249.9845 ]
 [1326.35504 1710.53428  249.98604]
 [1310.56204 1684.21772  249.98786]
 [1294.7685  1657.90102  249.98983]
 [1278.9746  1631.58426  249.99181]
 [1263.18053 1605.26751  249.99362]
 [1247.38644 1578.95084  249.99515]
 [1231.59238 1552.63423  249.99644]
 [1215.79832 1526.31764  249.99763]
 [1200.      1500.       250.     ]]","[[0.39229582065686297, 0.45456296282421477, 0.4678142753111024], 0.43822435293072665]"
Iteration,Trajectory,Legibility
8552,"[[1500.      2000.       250.     ]
 [1434.86819 1968.44769  311.64585]
 [1394.12218 1939.74689  346.988  ]
 [1353.0094  1911.28776  383.45817]
 [1311.72365 1883.12239  419.89719]
 [1270.67067 1855.29395  455.2238 ]
 [1230.4467  1827.83513  488.39311]
 [1191.81761 1800.76752  518.34699]
 [1155.70205 1774.10238  543.9692 ]
 [1123.15741 1747.84225  564.05519]
 [1095.36293 1721.98241  577.3052 ]
 [1073.58781 1696.51105  582.35226]
 [1059.12056 1671.40614  577.84914]
 [1053.11439 1646.62758  562.65992]
 [1056.28273 1622.10554  536.21807]
 [1068.40443 1597.73228  499.06684]
 [1087.74698 1573.37429  453.42258]
 [1110.91518 1548.92688  403.21886]
 [1134.715   1524.40076  352.09337]
 [1200.      1500.       250.     ]]","[[0.4810802609671759, 0.2906287861516781, 0.6983177155600563], 0.49000892089297005]"
Iteration,Trajectory,Legibility
1,"[[1500.      2000.       250.     ]
 [1484.24567 1973.6855   249.98993]
 [1468.46726 1947.37044  249.9865 ]
 [1452.68481 1921.05546  249.98405]
 [1436.89876 1894.74057  249.98254]
 [1421.10964 1868.42577  249.98192]
 [1405.31807 1842.11104  249.98209]
 [1389.52467 1815.79633  249.98295]
 [1373.73006 1789.4816   249.98435]
 [1357.93481 1763.16678  249.98611]
 [1342.13948 1736.85176  249.98803]
 [1326.34455 1710.53648  249.98993]
 [1310.55033 1684.22084  249.99168]
 [1294.75692 1657.90479  249.99318]
 [1278.96413 1631.58831  249.99446]
 [1263.17167 1605.27141  249.99554]
 [1247.37936 1578.95418  249.99649]
 [1231.58712 1552.63674  249.99738]
 [1215.79492 1526.31924  249.99826]
 [1200.      1500.       250.     ]]","[[0.4414601559404526, 0.6013362088859335, 0.5697803908738935], 0.5375255852334265]"
Iteration,Trajectory,Legibility
1,"[[1500.      2000.       250.     ]
 [1484.43475 1973.68607  250.01217]
 [1468.7166  1947.37158  250.01716]
 [1452.97575 1921.05752  250.02116]
 [1437.21433 1894.74392  250.02407]
 [1421.43427 1868.43068  250.02587]
 [1405.63841 1842.11763  250.02661]
 [1389.83065 1815.80456  250.02644]
 [1374.01544 1789.49126  250.02559]
 [1358.19676 1763.17751  250.02428]
 [1342.3773  1736.86314  250.0227 ]
 [1326.55827 1710.54803  250.02095]
 [1310.73994 1684.23212  250.01904]
 [1294.9223  1657.91539  250.01699]
 [1279.1053  1631.59786  250.01478]
 [1263.28892 1605.2796   250.01244]
 [1247.47303 1578.96078  250.01   ]
 [1231.65738 1552.64167  250.0075 ]
 [1215.84176 1526.32252  250.005  ]
 [1200.      1500.       250.     ]]","[[0.46198428700645316, 0.7172356029264598, 0.6822328341050868], 0.6204842413459999]"
Iteration,Trajectory,Legibility
7552,"[[1500.      2000.       250.     ]
 [1421.8322  1978.48872  307.7256 ]
 [1379.22732 1954.61062  338.59214]
 [1339.57507 1930.69981  369.26163]
 [1302.97636 1906.71024  398.80561]
 [1269.56795 1882.58997  426.35171]
 [1239.50451 1858.28156  451.07549]
 [1212.9441  1833.72277  472.19377]
 [1190.03717 1808.848    488.96102]
 [1170.9185  1783.5907   500.67114]
 [1155.70043 1757.88695  506.66664]
 [1144.46481 1731.68027  506.35917]
 [1137.24925 1704.92733  499.26845]
 [1134.02077 1677.60407  485.09219]
 [1134.62816 1649.7115   463.82311]
 [1138.72718 1621.28126  435.91846]
 [1145.68947 1592.38221  402.48635]
 [1154.53333 1563.1322   365.40136]
 [1164.02618 1533.71606  327.05258]
 [1200.      1500.       250.     ]]","[[0.4833734921429719, 0.34056057732544837, 0.6371653508629231], 0.4870331401104478]"
