Iteration,Trajectory,Legibility
200,"15.     3.75   2.5  
 14.453  3.992  2.5  
 13.75   4.078  2.5  
 13.024  4.142  2.5  
 12.278  4.185  2.5  
 11.513  4.209  2.5  
 10.731  4.216  2.5  
  9.933  4.208  2.5  
  9.121  4.186  2.5  
  8.298  4.151  2.5  
  7.464  4.107  2.5  
  6.621  4.054  2.5  
  5.772  3.994  2.5  
  4.921  3.931  2.5  
  4.     3.8    2.5  ","0.9145710055249799, 0.9484498667137209, 0.9315104361193505"
900,"15.     3.75   2.5  
 15.289  4.828  2.5  
 14.874  5.203  2.5  
 14.359  5.477  2.5  
 13.751  5.658  2.5  
 13.058  5.754  2.5  
 12.287  5.773  2.5  
 11.447  5.722  2.5  
 10.545  5.609  2.5  
  9.589  5.443  2.5  
  8.587  5.23   2.5  
  7.546  4.978  2.5  
  6.474  4.696  2.5  
  5.392  4.403  2.5  
  4.     3.8    2.5  ","0.9002305738849246, 0.95099528095427, 0.9256129274195972"
5000,"15.     3.75   2.5  
 20.19   9.729  2.5  
 21.469 11.797  2.5  
 22.189 13.307  2.5  
 22.394 14.301  2.5  
 22.127 14.824  2.5  
 21.432 14.918  2.5  
 20.351 14.626  2.5  
 18.928 13.992  2.5  
 17.206 13.059  2.5  
 15.228 11.871  2.5  
 13.038 10.47   2.5  
 10.68   8.901  2.5  
  8.217  7.228  2.5  
  4.     3.8    2.5  ","0.8176528798170188, 0.9659339917080968, 0.8917934357625579"
10000,"15.     3.75   2.5  
 26.113 15.652  2.5  
 29.43  19.758  2.5  
 31.632 22.75   2.5  
 32.806 24.713  2.5  
 33.041 25.737  2.5  
 32.423 25.909  2.5  
 31.04  25.315  2.5  
 28.979 24.043  2.5  
 26.327 22.18   2.5  
 23.172 19.814  2.5  
 19.601 17.033  2.5  
 15.704 13.925  2.5  
 11.592 10.603  2.5  
  4.     3.8    2.5  ","0.7273756048144265, nan, nan"
600,"15.     3.75   2.5  
 14.931  4.47   2.5  
 14.392  4.721  2.5  
 13.787  4.905  2.5  
 13.12   5.027  2.5  
 12.396  5.092  2.5  
 11.62   5.106  2.5  
 10.798  5.073  2.5  
  9.935  4.999  2.5  
  9.036  4.889  2.5  
  8.106  4.749  2.5  
  7.15   4.582  2.5  
  6.173  4.395  2.5  
  5.19   4.201  2.5  
  4.     3.8    2.5  ","0.9063664250064368, 0.9499054714322306, 0.9281359482193337"
6000,"15.     3.75   2.5  
 21.381 10.92   2.5  
 23.07  13.399  2.5  
 24.09  15.208  2.5  
 24.491 16.399  2.5  
 24.327 17.024  2.5  
 23.649 17.135  2.5  
 22.508 16.783  2.5  
 20.958 16.022  2.5  
 19.05  14.903  2.5  
 16.835 13.478  2.5  
 14.367 11.799  2.5  
 11.697  9.919  2.5  
  8.901  7.912  2.5  
  4.     3.8    2.5  ","0.7985167343085898, 0.9693811623864185, 0.8839489483475041"
300,"15.     3.75   2.5  
 14.573  4.112  2.5  
 13.91   4.239  2.5  
 13.215  4.333  2.5  
 12.488  4.396  2.5  
 11.734  4.43   2.5  
 10.953  4.439  2.5  
 10.149  4.424  2.5  
  9.325  4.389  2.5  
  8.482  4.336  2.5  
  7.624  4.267  2.5  
  6.754  4.186  2.5  
  5.873  4.094  2.5  
  4.988  3.999  2.5  
  4.     3.8    2.5  ","0.9125175835125396, 0.9488139787018747, 0.9306657811072072"
9000,"15.     3.75   2.5  
 24.935 14.474  2.5  
 27.848 18.176  2.5  
 29.757 20.874  2.5  
 30.74  22.647  2.5  
 30.877 23.573  2.5  
 30.245 23.731  2.5  
 28.923 23.198  2.5  
 26.99  22.054  2.5  
 24.524 20.377  2.5  
 21.603 18.246  2.5  
 18.306 15.738  2.5  
 14.713 12.934  2.5  
 10.927  9.937  2.5  
  4.     3.8    2.5  ","0.7443030725060693, 0.9789995104351397, 0.8616512914706045"
700,"15.     3.75   2.5  
 15.05   4.589  2.5  
 14.553  4.881  2.5  
 13.978  5.095  2.5  
 13.33   5.237  2.5  
 12.616  5.313  2.5  
 11.842  5.328  2.5  
 11.015  5.29   2.5  
 10.138  5.203  2.5  
  9.22   5.074  2.5  
  8.266  4.909  2.5  
  7.282  4.714  2.5  
  6.274  4.495  2.5  
  5.258  4.268  2.5  
  4.     3.8    2.5  ","0.9043193367338302, 0.9502689547695323, 0.9272941457516812"
1,"15.     3.75   2.5  
 14.215  3.755  2.5  
 13.43   3.759  2.5  
 12.645  3.763  2.5  
 11.859  3.766  2.5  
 11.074  3.77   2.5  
 10.288  3.774  2.5  
  9.502  3.777  2.5  
  8.716  3.781  2.5  
  7.93   3.784  2.5  
  7.144  3.787  2.5  
  6.358  3.791  2.5  
  5.572  3.794  2.5  
  4.786  3.797  2.5  
  4.     3.8    2.5  ","0.9186613597989981, 0.9477249847028153, 0.9331931722509067"
