Iteration,Trajectory
4000,"  0.      0.      2.5  
  -3.568  -4.357   2.5  
  -4.287  -5.866   2.5  
  -4.601  -6.969   2.5  
  -4.539  -7.696   2.5  
  -4.134  -8.08    2.5  
  -3.417  -8.152   2.5  
  -2.418  -7.943   2.5  
  -1.171  -7.485   2.5  
   0.295  -6.808   2.5  
   1.948  -5.945   2.5  
   3.755  -4.927   2.5  
   5.687  -3.785   2.5  
   7.695  -2.566   2.5  
  11.     -0.05    2.5  "
10000,"  0.      0.      2.5  
 -10.06  -10.849   2.5  
 -13.018 -14.596   2.5  
 -14.962 -17.329   2.5  
 -15.97  -19.127   2.5  
 -16.122 -20.068   2.5  
 -15.498 -20.233   2.5  
 -14.18  -19.705   2.5  
 -12.242 -18.557   2.5  
  -9.764 -16.868   2.5  
  -6.825 -14.718   2.5  
  -3.503 -12.185   2.5  
   0.121  -9.351   2.5  
   3.948  -6.312   2.5  
  11.     -0.05    2.5  "
900,"  0.      0.      2.5  
  -0.193  -0.982   2.5  
   0.255  -1.324   2.5  
   0.794  -1.574   2.5  
   1.417  -1.74    2.5  
   2.118  -1.829   2.5  
   2.889  -1.847   2.5  
   3.723  -1.802   2.5  
   4.614  -1.701   2.5  
   5.553  -1.55    2.5  
   6.535  -1.358   2.5  
   7.552  -1.13    2.5  
   8.597  -0.874   2.5  
   9.654  -0.606   2.5  
  11.     -0.05    2.5  "
1,"  0.000e+00   0.000e+00   2.500e+00
   7.850e-01  -5.000e-03   2.500e+00
   1.570e+00  -9.000e-03   2.500e+00
   2.355e+00  -1.200e-02   2.500e+00
   3.141e+00  -1.600e-02   2.500e+00
   3.927e+00  -2.000e-02   2.500e+00
   4.712e+00  -2.300e-02   2.500e+00
   5.498e+00  -2.700e-02   2.500e+00
   6.284e+00  -3.000e-02   2.500e+00
   7.070e+00  -3.400e-02   2.500e+00
   7.856e+00  -3.700e-02   2.500e+00
   8.642e+00  -4.000e-02   2.500e+00
   9.428e+00  -4.400e-02   2.500e+00
   1.021e+01  -4.700e-02   2.500e+00
   1.100e+01  -5.000e-02   2.500e+00"
200,"  0.      0.      2.5  
   0.568  -0.221   2.5  
   1.279  -0.3     2.5  
   2.01   -0.358   2.5  
   2.759  -0.398   2.5  
   3.526  -0.42    2.5  
   4.309  -0.427   2.5  
   5.105  -0.42    2.5  
   5.914  -0.4     2.5  
   6.734  -0.37    2.5  
   7.563  -0.33    2.5  
   8.4    -0.282   2.5  
   9.244  -0.228   2.5  
  10.09   -0.171   2.5  
  11.     -0.05    2.5  "
8000,"  0.      0.      2.5  
  -7.908  -8.697   2.5  
 -10.126 -11.704   2.5  
 -11.532 -13.9     2.5  
 -12.189 -15.346   2.5  
 -12.16  -16.107   2.5  
 -11.508 -16.244   2.5  
 -10.297 -15.822   2.5  
  -8.588 -14.902   2.5  
  -6.445 -13.549   2.5  
  -3.931 -11.824   2.5  
  -1.11   -9.792   2.5  
   1.955  -7.517   2.5  
   5.183  -5.078   2.5  
  11.     -0.05    2.5  "
300,"  0.      0.      2.5  
   0.46   -0.33    2.5  
   1.133  -0.446   2.5  
   1.836  -0.532   2.5  
   2.568  -0.59    2.5  
   3.325  -0.621   2.5  
   4.106  -0.63    2.5  
   4.908  -0.617   2.5  
   5.728  -0.586   2.5  
   6.565  -0.538   2.5  
   7.416  -0.476   2.5  
   8.279  -0.403   2.5  
   9.151  -0.32    2.5  
  10.028  -0.233   2.5  
  11.     -0.05    2.5  "
9000,"  0.      0.      2.5  
  -8.988  -9.778   2.5  
 -11.579 -13.157   2.5  
 -13.256 -15.624   2.5  
 -14.091 -17.248   2.5  
 -14.154 -18.101   2.5  
 -13.518 -18.253   2.5  
 -12.252 -17.777   2.5  
 -10.427 -16.742   2.5  
  -8.116 -15.219   2.5  
  -5.388 -13.28    2.5  
  -2.314 -10.997   2.5  
   1.032  -8.44    2.5  
   4.562  -5.699   2.5  
  11.     -0.05    2.5  "
6000,"  0.      0.      2.5  
  -5.741  -6.531   2.5  
  -7.211  -8.79    2.5  
  -8.073 -10.44    2.5  
  -8.372 -11.529   2.5  
  -8.156 -12.102   2.5  
  -7.472 -12.208   2.5  
  -6.368 -11.893   2.5  
  -4.89  -11.204   2.5  
  -3.085 -10.189   2.5  
  -1.002  -8.895   2.5  
   1.314  -7.368   2.5  
   3.814  -5.658   2.5  
   6.434  -3.827   2.5  
  11.     -0.05    2.5  "
5000,"  0.      0.      2.5  
  -4.655  -5.445   2.5  
  -5.751  -7.329   2.5  
  -6.338  -8.706   2.5  
  -6.457  -9.614   2.5  
  -6.147 -10.093   2.5  
  -5.446 -10.182   2.5  
  -4.395  -9.92    2.5  
  -3.033  -9.347   2.5  
  -1.397  -8.501   2.5  
   0.471  -7.422   2.5  
   2.533  -6.149   2.5  
   4.749  -4.723   2.5  
   7.064  -3.197   2.5  
  11.     -0.05    2.5  "
400,"  0.      0.      2.5  
   0.351  -0.439   2.5  
   0.986  -0.592   2.5  
   1.662  -0.706   2.5  
   2.376  -0.781   2.5  
   3.124  -0.823   2.5  
   3.903  -0.833   2.5  
   4.71   -0.815   2.5  
   5.542  -0.772   2.5  
   6.397  -0.707   2.5  
   7.27   -0.623   2.5  
   8.158  -0.524   2.5  
   9.059  -0.413   2.5  
   9.965  -0.295   2.5  
  11.     -0.05    2.5  "
