Iteration,Trajectory
4000,"  9.5     2.5     0.75 
  13.068   2.5    -3.607
  13.787   2.5    -5.116
  14.101   2.5    -6.219
  14.039   2.5    -6.946
  13.634   2.5    -7.33 
  12.917   2.5    -7.402
  11.918   2.5    -7.193
  10.671   2.5    -6.735
   9.205   2.5    -6.058
   7.552   2.5    -5.195
   5.745   2.5    -4.177
   3.813   2.5    -3.035
   1.805   2.5    -1.816
  -1.5     2.5     0.7  "
10000,"  9.5     2.5     0.75 
  19.56    2.5   -10.099
  22.518   2.5   -13.846
  24.462   2.5   -16.579
  25.47    2.5   -18.377
  25.622   2.5   -19.318
  24.998   2.5   -19.483
  23.68    2.5   -18.955
  21.742   2.5   -17.807
  19.264   2.5   -16.118
  16.325   2.5   -13.968
  13.003   2.5   -11.435
   9.379   2.5    -8.601
   5.552   2.5    -5.562
  -1.5     2.5     0.7  "
900," 9.5    2.5    0.75 
  9.693  2.5   -0.232
  9.245  2.5   -0.574
  8.706  2.5   -0.824
  8.083  2.5   -0.99 
  7.382  2.5   -1.079
  6.611  2.5   -1.097
  5.777  2.5   -1.052
  4.886  2.5   -0.951
  3.947  2.5   -0.8  
  2.965  2.5   -0.608
  1.948  2.5   -0.38 
  0.903  2.5   -0.124
 -0.154  2.5    0.144
 -1.5    2.5    0.7  "
1," 9.5    2.5    0.75 
  8.715  2.5    0.745
  7.93   2.5    0.741
  7.145  2.5    0.738
  6.359  2.5    0.734
  5.573  2.5    0.73 
  4.788  2.5    0.727
  4.002  2.5    0.723
  3.216  2.5    0.72 
  2.43   2.5    0.716
  1.644  2.5    0.713
  0.858  2.5    0.71 
  0.072  2.5    0.706
 -0.714  2.5    0.703
 -1.5    2.5    0.7  "
200," 9.5    2.5    0.75 
  8.932  2.5    0.529
  8.221  2.5    0.45 
  7.49   2.5    0.392
  6.741  2.5    0.352
  5.974  2.5    0.33 
  5.191  2.5    0.323
  4.395  2.5    0.33 
  3.586  2.5    0.35 
  2.766  2.5    0.38 
  1.937  2.5    0.42 
  1.1    2.5    0.468
  0.256  2.5    0.522
 -0.59   2.5    0.579
 -1.5    2.5    0.7  "
8000,"  9.5     2.5     0.75 
  17.408   2.5    -7.947
  19.626   2.5   -10.954
  21.032   2.5   -13.15 
  21.689   2.5   -14.596
  21.66    2.5   -15.357
  21.008   2.5   -15.494
  19.797   2.5   -15.072
  18.088   2.5   -14.152
  15.945   2.5   -12.799
  13.431   2.5   -11.074
  10.61    2.5    -9.042
   7.545   2.5    -6.767
   4.317   2.5    -4.328
  -1.5     2.5     0.7  "
300," 9.5    2.5    0.75 
  9.04   2.5    0.42 
  8.367  2.5    0.304
  7.664  2.5    0.218
  6.932  2.5    0.16 
  6.175  2.5    0.129
  5.394  2.5    0.12 
  4.592  2.5    0.133
  3.772  2.5    0.164
  2.935  2.5    0.212
  2.084  2.5    0.274
  1.221  2.5    0.347
  0.349  2.5    0.43 
 -0.528  2.5    0.517
 -1.5    2.5    0.7  "
9000,"  9.5     2.5     0.75 
  18.488   2.5    -9.028
  21.079   2.5   -12.407
  22.756   2.5   -14.874
  23.591   2.5   -16.498
  23.654   2.5   -17.351
  23.018   2.5   -17.503
  21.752   2.5   -17.027
  19.927   2.5   -15.992
  17.616   2.5   -14.469
  14.888   2.5   -12.53 
  11.814   2.5   -10.247
   8.468   2.5    -7.69 
   4.938   2.5    -4.949
  -1.5     2.5     0.7  "
6000,"  9.5     2.5     0.75 
  15.241   2.5    -5.781
  16.711   2.5    -8.04 
  17.573   2.5    -9.69 
  17.872   2.5   -10.779
  17.656   2.5   -11.352
  16.972   2.5   -11.458
  15.868   2.5   -11.143
  14.39    2.5   -10.454
  12.585   2.5    -9.439
  10.502   2.5    -8.145
   8.186   2.5    -6.618
   5.686   2.5    -4.908
   3.066   2.5    -3.077
  -1.5     2.5     0.7  "
5000,"  9.5     2.5     0.75 
  14.155   2.5    -4.695
  15.251   2.5    -6.579
  15.838   2.5    -7.956
  15.957   2.5    -8.864
  15.647   2.5    -9.343
  14.946   2.5    -9.432
  13.895   2.5    -9.17 
  12.533   2.5    -8.597
  10.897   2.5    -7.751
   9.029   2.5    -6.672
   6.967   2.5    -5.399
   4.751   2.5    -3.973
   2.436   2.5    -2.447
  -1.5     2.5     0.7  "
400," 9.5    2.5    0.75 
  9.149  2.5    0.311
  8.514  2.5    0.158
  7.838  2.5    0.044
  7.124  2.5   -0.031
  6.376  2.5   -0.073
  5.597  2.5   -0.083
  4.79   2.5   -0.065
  3.958  2.5   -0.022
  3.103  2.5    0.043
  2.23   2.5    0.127
  1.342  2.5    0.226
  0.441  2.5    0.337
 -0.465  2.5    0.455
 -1.5    2.5    0.7  "
3000,"  9.5     2.5     0.75 
  11.98    2.5    -2.519
  12.323   2.5    -3.651
  12.361   2.5    -4.479
  12.118   2.5    -5.025
  11.618   2.5    -5.314
  10.883   2.5    -5.369
   9.937   2.5    -5.212
   8.805   2.5    -4.869
   7.508   2.5    -4.362
   6.072   2.5    -3.715
   4.518   2.5    -2.951
   2.872   2.5    -2.094
   1.171   2.5    -1.182
  -1.5     2.5     0.7  "
500," 9.5    2.5    0.75 
  9.258  2.5    0.203
  8.66   2.5    0.011
  8.011  2.5   -0.129
  7.316  2.5   -0.223
  6.577  2.5   -0.274
  5.8    2.5   -0.286
  4.987  2.5   -0.262
  4.143  2.5   -0.208
  3.272  2.5   -0.126
  2.377  2.5   -0.02 
  1.463  2.5    0.105
  0.533  2.5    0.245
 -0.403  2.5    0.392
 -1.5    2.5    0.7  "
1000," 9.5    2.5    0.75 
  9.802  2.5   -0.341
  9.391  2.5   -0.72 
  8.88   2.5   -0.998
  8.274  2.5   -1.182
  7.583  2.5   -1.28 
  6.814  2.5   -1.3  
  5.974  2.5   -1.249
  5.072  2.5   -1.136
  4.115  2.5   -0.969
  3.112  2.5   -0.754
  2.069  2.5   -0.501
  0.995  2.5   -0.217
 -0.092  2.5    0.082
 -1.5    2.5    0.7  "
2000,"  9.5     2.5     0.75 
  10.89    2.5    -1.429
  10.856   2.5    -2.185
  10.619   2.5    -2.737
  10.195   2.5    -3.102
   9.599   2.5    -3.295
   8.846   2.5    -3.332
   7.953   2.5    -3.228
   6.936   2.5    -3.   
   5.809   2.5    -2.662
   4.588   2.5    -2.231
   3.289   2.5    -1.722
   1.929   2.5    -1.15 
   0.536   2.5    -0.547
  -1.5     2.5     0.7  "
7000,"  9.5     2.5     0.75 
  16.326   2.5    -6.865
  18.17    2.5    -9.499
  19.304   2.5   -11.422
  19.782   2.5   -12.69 
  19.66    2.5   -13.357
  18.993   2.5   -13.479
  17.835   2.5   -13.11 
  16.242   2.5   -12.306
  14.268   2.5   -11.122
  11.969   2.5    -9.612
   9.401   2.5    -7.833
   6.618   2.5    -5.839
   3.693   2.5    -3.703
  -1.5     2.5     0.7  "
600," 9.5    2.5    0.75 
  9.367  2.5    0.094
  8.806  2.5   -0.135
  8.185  2.5   -0.303
  7.508  2.5   -0.415
  6.779  2.5   -0.475
  6.003  2.5   -0.488
  5.185  2.5   -0.46 
  4.329  2.5   -0.393
  3.441  2.5   -0.294
  2.524  2.5   -0.167
  1.584  2.5   -0.017
  0.626  2.5    0.153
 -0.341  2.5    0.33 
 -1.5    2.5    0.7  "
100," 9.5    2.5    0.75 
  8.823  2.5    0.638
  8.075  2.5    0.597
  7.317  2.5    0.566
  6.549  2.5    0.544
  5.773  2.5    0.531
  4.989  2.5    0.526
  4.197  2.5    0.528
  3.4    2.5    0.536
  2.597  2.5    0.549
  1.79   2.5    0.567
  0.978  2.5    0.589
  0.164  2.5    0.615
 -0.652  2.5    0.641
 -1.5    2.5    0.7  "
700," 9.5    2.5    0.75 
  9.475  2.5   -0.015
  8.953  2.5   -0.281
  8.359  2.5   -0.477
  7.699  2.5   -0.607
  6.98   2.5   -0.676
  6.205  2.5   -0.691
  5.382  2.5   -0.657
  4.515  2.5   -0.579
  3.609  2.5   -0.463
  2.671  2.5   -0.314
  1.706  2.5   -0.138
  0.718  2.5    0.06 
 -0.279  2.5    0.268
 -1.5    2.5    0.7  "
800," 9.5    2.5    0.75 
  9.584  2.5   -0.123
  9.099  2.5   -0.428
  8.533  2.5   -0.65 
  7.891  2.5   -0.798
  7.181  2.5   -0.877
  6.408  2.5   -0.894
  5.579  2.5   -0.854
  4.701  2.5   -0.765
  3.778  2.5   -0.632
  2.818  2.5   -0.461
  1.827  2.5   -0.259
  0.811  2.5   -0.032
 -0.217  2.5    0.206
 -1.5    2.5    0.7  "
