Iteration,Trajectory,Legibility
200,"15.     3.75   2.5  
 14.68   4.22   2.5  
 14.056  4.385  2.5  
 13.389  4.506  2.5  
 12.681  4.588  2.5  
 11.937  4.633  2.5  
 11.159  4.645  2.5  
 10.351  4.626  2.5  
  9.517  4.581  2.5  
  8.659  4.513  2.5  
  7.782  4.425  2.5  
  6.888  4.32   2.5  
  5.98   4.201  2.5  
  5.063  4.073  2.5  
  4.     3.8    2.5  ","0.9229865443857235, 0.9229865443857235"
900,"15.     3.75   2.5  
 16.312  5.851  2.5  
 16.253  6.581  2.5  
 15.999  7.116  2.5  
 15.564  7.472  2.5  
 14.965  7.662  2.5  
 14.216  7.702  2.5  
 13.332  7.607  2.5  
 12.327  7.392  2.5  
 11.218  7.072  2.5  
 10.019  6.662  2.5  
  8.745  6.177  2.5  
  7.411  5.632  2.5  
  6.032  5.043  2.5  
  4.     3.8    2.5  ","0.9444034240002449, 0.9444034240002449"
5000,"15.     3.75   2.5  
 25.136 14.675  2.5  
 28.02  18.348  2.5  
 29.822 20.94   2.5  
 30.626 22.533  2.5  
 30.628 23.324  2.5  
 29.955 23.44   2.5  
 28.685 22.96   2.5  
 26.875 21.939  2.5  
 24.554 20.408  2.5  
 21.737 18.38   2.5  
 18.507 15.94   2.5  
 14.947 13.169  2.5  
 11.14  10.151  2.5  
  4.     3.8    2.5  ","nan, nan"
10000,"15.     3.75   2.5  
 29.577 19.116  2.5  
 32.893 23.222  2.5  
 34.616 25.734  2.5  
 35.292 27.199  2.5  
 35.166 27.862  2.5  
 34.365 27.851  2.5  
 32.967 27.242  2.5  
 31.029 26.093  2.5  
 28.58  24.434  2.5  
 25.614 22.257  2.5  
 22.055 19.487  2.5  
 17.848 16.069  2.5  
 13.159 12.169  2.5  
  4.     3.8    2.5  ","nan, nan"
600,"15.     3.75   2.5  
 15.613  5.152  2.5  
 15.311  5.64   2.5  
 14.88   5.998  2.5  
 14.329  6.236  2.5  
 13.667  6.364  2.5  
 12.906  6.391  2.5  
 12.054  6.329  2.5  
 11.123  6.187  2.5  
 10.122  5.975  2.5  
  9.06   5.703  2.5  
  7.949  5.381  2.5  
  6.798  5.019  2.5  
  5.616  4.627  2.5  
  4.     3.8    2.5  ","0.9352237937173626, 0.9352237937173626"
6000,"15.     3.75   2.5  
 26.308 15.848  2.5  
 29.421 19.75   2.5  
 31.236 22.354  2.5  
 32.005 23.912  2.5  
 31.971 24.667  2.5  
 31.262 24.748  2.5  
 29.957 24.232  2.5  
 28.111 23.175  2.5  
 25.754 21.608  2.5  
 22.88  19.523  2.5  
 19.513 16.945  2.5  
 15.751 13.972  2.5  
 11.694 10.705  2.5  
  4.     3.8    2.5  ","nan, nan"
300,"15.     3.75   2.5  
 14.914  4.453  2.5  
 14.37   4.699  2.5  
 13.761  4.879  2.5  
 13.093  5.     2.5  
 12.369  5.066  2.5  
 11.596  5.081  2.5  
 10.777  5.052  2.5  
  9.918  4.983  2.5  
  9.025  4.878  2.5  
  8.101  4.744  2.5  
  7.153  4.585  2.5  
  6.184  4.406  2.5  
  5.201  4.212  2.5  
  4.     3.8    2.5  ","0.9260447124855165, 0.9260447124855165"
9000,"15.     3.75   2.5  
 28.897 18.436  2.5  
 32.23  22.559  2.5  
 33.97  25.088  2.5  
 34.664 26.571  2.5  
 34.555 27.251  2.5  
 33.771 27.257  2.5  
 32.391 26.666  2.5  
 30.47  25.534  2.5  
 28.038 23.892  2.5  
 25.089 21.732  2.5  
 21.547 18.98   2.5  
 17.42  15.642  2.5  
 12.858 11.868  2.5  
  4.     3.8    2.5  ","nan, nan"
700,"15.     3.75   2.5  
 15.846  5.385  2.5  
 15.625  5.954  2.5  
 15.253  6.371  2.5  
 14.741  6.648  2.5  
 14.1    6.796  2.5  
 13.342  6.828  2.5  
 12.48   6.755  2.5  
 11.524  6.589  2.5  
 10.487  6.341  2.5  
  9.38   6.023  2.5  
  8.214  5.646  2.5  
  7.002  5.223  2.5  
  5.755  4.766  2.5  
  4.     3.8    2.5  ","0.9382840104440555, 0.9382840104440555"
1,"15.     3.75   2.5  
 14.217  3.756  2.5  
 13.432  3.76   2.5  
 12.647  3.764  2.5  
 11.861  3.768  2.5  
 11.076  3.772  2.5  
 10.29   3.776  2.5  
  9.504  3.779  2.5  
  8.718  3.783  2.5  
  7.932  3.786  2.5  
  7.146  3.789  2.5  
  6.36   3.792  2.5  
  5.573  3.795  2.5  
  4.787  3.798  2.5  
  4.     3.8    2.5  ","0.9169048421581883, 0.9169048421581883"
4000,"15.     3.75   2.5  
 23.519 13.058  2.5  
 25.952 16.281  2.5  
 27.519 18.637  2.5  
 28.288 20.195  2.5  
 28.325 21.021  2.5  
 27.697 21.182  2.5  
 26.472 20.747  2.5  
 24.716 19.781  2.5  
 22.496 18.349  2.5  
 19.877 16.52   2.5  
 16.927 14.359  2.5  
 13.712 11.933  2.5  
 10.298  9.308  2.5  
  4.     3.8    2.5  ","nan, nan"
2000,"15.     3.75   2.5  
 18.875  8.414  2.5  
 19.703 10.032  2.5  
 20.098 11.216  2.5  
 20.093 12.     2.5  
 19.721 12.418  2.5  
 19.016 12.502  2.5  
 18.012 12.287  2.5  
 16.741 11.805  2.5  
 15.236 11.09   2.5  
 13.532 10.175  2.5  
 11.661  9.094  2.5  
  9.658  7.879  2.5  
  7.554  6.565  2.5  
  4.     3.8    2.5  ","0.977936778632916, 0.977936778632916"
3000,"15.     3.75   2.5  
 21.201 10.74   2.5  
 22.834 13.162  2.5  
 23.817 14.935  2.5  
 24.2   16.108  2.5  
 24.035 16.731  2.5  
 23.369 16.855  2.5  
 22.255 16.53   2.5  
 20.741 15.805  2.5  
 18.878 14.732  2.5  
 16.716 13.358  2.5  
 14.304 11.736  2.5  
 11.692  9.914  2.5  
  8.932  7.942  2.5  
  4.     3.8    2.5  ","1.0080111083845404, 1.0080111083845404"
400,"15.     3.75   2.5  
 15.147  4.686  2.5  
 14.684  5.012  2.5  
 14.134  5.252  2.5  
 13.505  5.412  2.5  
 12.802  5.498  2.5  
 12.032  5.518  2.5  
 11.203  5.478  2.5  
 10.32   5.384  2.5  
  9.39   5.244  2.5  
  8.421  5.064  2.5  
  7.418  4.85   2.5  
  6.389  4.61   2.5  
  5.339  4.35   2.5  
  4.     3.8    2.5  ","0.929103843842907, 0.929103843842907"
7000,"15.     3.75   2.5  
 27.391 16.931  2.5  
 30.688 21.016  2.5  
 32.471 23.589  2.5  
 33.208 25.115  2.5  
 33.142 25.838  2.5  
 32.401 25.887  2.5  
 31.064 25.339  2.5  
 29.186 24.25   2.5  
 26.798 22.651  2.5  
 23.892 20.535  2.5  
 20.412 17.844  2.5  
 16.474 14.695  2.5  
 12.193 11.204  2.5  
  4.     3.8    2.5  ","nan, nan"
100,"15.     3.75   2.5  
 14.447  3.987  2.5  
 13.742  4.071  2.5  
 13.016  4.134  2.5  
 12.269  4.176  2.5  
 11.504  4.2    2.5  
 10.722  4.208  2.5  
  9.926  4.201  2.5  
  9.116  4.18   2.5  
  8.294  4.148  2.5  
  7.462  4.105  2.5  
  6.622  4.054  2.5  
  5.776  3.997  2.5  
  4.924  3.935  2.5  
  4.     3.8    2.5  ","0.919929639605016, 0.919929639605016"
800,"15.     3.75   2.5  
 16.079  5.618  2.5  
 15.939  6.268  2.5  
 15.626  6.744  2.5  
 15.152  7.06   2.5  
 14.532  7.229  2.5  
 13.779  7.265  2.5  
 12.906  7.181  2.5  
 11.926  6.99   2.5  
 10.853  6.706  2.5  
  9.699  6.342  2.5  
  8.48   5.912  2.5  
  7.206  5.428  2.5  
  5.893  4.904  2.5  
  4.     3.8    2.5  ","0.9413439873146653, 0.9413439873146653"
8000,"15.     3.75   2.5  
 28.216 17.755  2.5  
 31.566 21.895  2.5  
 33.323 24.441  2.5  
 34.034 25.941  2.5  
 33.942 26.638  2.5  
 33.175 26.661  2.5  
 31.812 26.087  2.5  
 29.908 24.972  2.5  
 27.494 23.347  2.5  
 24.562 21.205  2.5  
 21.037 18.469  2.5  
 16.991 15.212  2.5  
 12.555 11.565  2.5  
  4.     3.8    2.5  ","nan, nan"
500,"15.     3.75   2.5  
 15.38   4.919  2.5  
 14.998  5.326  2.5  
 14.507  5.625  2.5  
 13.917  5.824  2.5  
 13.235  5.931  2.5  
 12.469  5.955  2.5  
 11.629  5.904  2.5  
 10.721  5.786  2.5  
  9.756  5.61   2.5  
  8.741  5.383  2.5  
  7.683  5.116  2.5  
  6.593  4.815  2.5  
  5.478  4.489  2.5  
  4.     3.8    2.5  ","0.932163637876364, 0.932163637876364"
1000,"15.     3.75   2.5  
 16.545  6.085  2.5  
 16.567  6.895  2.5  
 16.371  7.489  2.5  
 15.976  7.883  2.5  
 15.398  8.094  2.5  
 14.653  8.138  2.5  
 13.757  8.032  2.5  
 12.729  7.793  2.5  
 11.584  7.437  2.5  
 10.339  6.981  2.5  
  9.01   6.442  2.5  
  7.615  5.837  2.5  
  6.17   5.181  2.5  
  4.     3.8    2.5  ","0.9474620208162535, 0.9474620208162535"
