Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1489.473337994  250.000457594 2363.158845482]
 [1478.946939931  250.000751552 2326.317104063]
 [1468.420589795  250.001072878 2289.475294613]
 [1457.89427902   250.001410075 2252.633421688]
 [1447.367999715  250.001752077 2215.791489699]
 [1436.841744634  250.002088229 2178.949502918]
 [1426.315507136  250.002408279 2142.107465485]
 [1415.789281159  250.002702364 2105.265381412]
 [1405.263061189  250.002961004 2068.423254588]
 [1394.736842231  250.003175099 2031.581088784]
 [1384.210619787  250.003335935 1994.73888766 ]
 [1373.684389839  250.0034352   1957.89665477 ]
 [1363.158148833  250.00346503  1921.054393572]
 [1352.631893683  250.003418112 1884.212107439]
 [1342.105621805  250.003287921 1847.369799682]
 [1331.579331226  250.003069318 1810.527473603]
 [1321.05302098   250.002760391 1773.685132641]
 [1310.526692787  250.002370153 1736.842781001]
 [1300.           250.          1700.         ]]","[[0.3427433989394546], 0.3427433989394546]"
100,"[[1500.           250.          2400.         ]
 [1489.439088927  250.045946327 2363.252986608]
 [1478.904558304  250.075431519 2326.447273901]
 [1468.374819485  250.107647536 2289.634757539]
 [1457.849015485  250.141443136 2252.815892796]
 [1447.326357113  250.175710052 2215.991120624]
 [1436.806119397  250.209381548 2179.160868188]
 [1426.287638223  250.24143115  2142.325549379]
 [1415.770307192  250.270871592 2105.485565327]
 [1405.253574694  250.296754071 2068.641304916]
 [1394.736941242  250.318167974 2031.793145303]
 [1384.219957108  250.334241373 1994.941452487]
 [1373.702220408  250.344142912 1958.086581961]
 [1363.18337589   250.347086353 1921.228879556]
 [1352.663115114  250.342340785 1884.368682697]
 [1342.14117969   250.329254226 1847.506322676]
 [1331.617372746  250.307313886 1810.642129734]
 [1321.09159787   250.27633036  1773.776447874]
 [1310.564027414  250.237207601 1736.909697907]
 [1300.           250.          1700.         ]]","[[0.3427999681696088], 0.3427999681696088]"
200,"[[1500.           250.          2400.         ]
 [1489.404546998  250.092271346 2363.348113486]
 [1478.861826896  250.15142274  2326.578809914]
 [1468.328688494  250.216023769 2289.795897693]
 [1457.803417283  250.283768579 2253.000287014]
 [1447.284434392  250.352437573 2216.192859484]
 [1436.770289447  250.419894535 2179.374469195]
 [1426.259653859  250.484084108 2142.545943768]
 [1415.751314544  250.543029703 2105.708085369]
 [1405.24416808   250.594832037 2068.861671729]
 [1394.73721538   250.63766861  2032.007457191]
 [1384.229556971  250.669794736 1995.146173838]
 [1373.720389156  250.689547337 1958.278532788]
 [1363.209001606  250.695354093 1921.405225874]
 [1352.694777696  250.685753905 1884.526928154]
 [1342.177200995  250.65944417  1847.644302443]
 [1331.655878201  250.615401469 1810.758009484]
 [1321.130617048  250.553250317 1773.868737562]
 [1310.601763048  250.474804483 1736.977328654]
 [1300.           250.          1700.         ]]","[[0.3428573056967216], 0.3428573056967216]"
300,"[[1500.           250.          2400.         ]
 [1489.370058535  250.13897652  2363.443275417]
 [1478.819174358  250.227975825 2326.710397579]
 [1468.282659858  250.32513151  2289.957104762]
 [1457.757942461  250.426979724 2253.184761709]
 [1447.242653128  250.530186465 2216.394690381]
 [1436.734615654  250.631543285 2179.588171572]
 [1426.231836615  250.727963521 2142.766446464]
 [1415.732495955  250.816479196 2105.93071816 ]
 [1405.234938243  250.894238865 2069.08215321 ]
 [1394.737664679  250.958506866 2032.221883171]
 [1384.239326029  251.006664917 1995.351006291]
 [1373.738716861  251.036217863 1958.470589446]
 [1363.234771938  251.044807456 1921.581670643]
 [1352.726566713  251.030243137 1884.685262781]
 [1342.213327065  250.990573058 1847.782360435]
 [1331.694463699  250.924265342 1810.873955101]
 [1321.169689052  250.830761769 1773.961079635]
 [1310.639522611  250.712791813 1737.044997529]
 [1300.           250.          1700.         ]]","[[0.34291484188013704], 0.34291484188013704]"
400,"[[1500.           250.          2400.         ]
 [1489.335623651  250.186063321 2363.538472448]
 [1478.776600851  250.305092946 2326.842036966]
 [1468.236733776  250.434973582 2290.118378832]
 [1457.712591244  250.571079982 2253.369316983]
 [1447.20101356   250.708960651 2216.596613436]
 [1436.699098259  250.844332141 2179.801975449]
 [1426.204186721  250.973074055 2142.987057603]
 [1415.713851638  251.091224958 2106.153463842]
 [1405.225885369  251.194979548 2069.302749501]
 [1394.738289295  251.280687723 2032.436423381]
 [1384.249264402  251.344856771 1995.555949978]
 [1373.757203608  251.3841591   1958.662752056]
 [1363.260686937  251.395450697 1921.758213974]
 [1352.758482184  251.375812277 1884.843686675]
 [1342.249557887  251.322644131 1847.92049673 ]
 [1331.733129201  251.23390811  1810.989966647]
 [1321.208813822  251.108866623 1774.053474135]
 [1310.677306021  250.951170759 1737.112704556]
 [1300.           250.          1700.         ]]","[[0.342972577502675], 0.342972577502675]"
500,"[[1500.           250.          2400.         ]
 [1489.301242458  250.233533225 2363.633704624]
 [1478.734106535  250.382776285 2326.973728143]
 [1468.190910444  250.545552822 2290.279719993]
 [1457.667363855  250.71607278  2253.553952943]
 [1447.159515924  250.88876407  2216.798628768]
 [1436.663737498  251.058265468 2180.015880956]
 [1426.176704405  251.219420401 2143.207777323]
 [1415.695381801  251.367271895 2106.376322556]
 [1405.21700964   251.497059097 2069.523460745]
 [1394.739089377  251.604216184 2032.65107796 ]
 [1384.259372209  251.684375172 1995.761005031]
 [1373.775849479  251.733375678 1958.855020743]
 [1363.28674665   251.747288089 1921.934855978]
 [1352.790524124  251.722465135 1885.002199933]
 [1342.285893446  251.655660643 1848.058711408]
 [1331.771874664  251.544332389 1811.106044185]
 [1321.247991293  251.387566791 1774.145921106]
 [1310.715113196  251.189942496 1737.180449759]
 [1300.           250.          1700.         ]]","[[0.34303051335110296], 0.34303051335110296]"
600,"[[1500.           250.          2400.         ]
 [1489.266915067  250.281387717 2363.728971994]
 [1478.691691567  250.461028033 2327.105471179]
 [1468.145190057  250.656872079 2290.441128332]
 [1457.622260513  250.861961559 2253.738669694]
 [1447.118160451  251.069600681 2217.000736496]
 [1436.628533606  251.273347648 2180.229888223]
 [1426.14938989   251.467007268 2143.428605762]
 [1415.677086649  251.644624936 2106.599294446]
 [1405.208311235  251.800482549 2069.744287083]
 [1394.740065075  251.929097273 2032.865847047]
 [1384.269649563  252.025225016 1995.966171582]
 [1373.794654553  252.083872247 1959.047395629]
 [1363.312951122  252.100323926 1922.111596765]
 [1352.822692542  252.070205541 1885.16080265 ]
 [1342.322333724  251.989625863 1848.19700455 ]
 [1331.810700046  251.855540807 1811.222187775]
 [1321.2872214    251.666864197 1774.238420589]
 [1310.752944052  251.429108205 1737.248233162]
 [1300.           250.          1700.         ]]","[[0.3430886502161649], 0.3430886502161649]"
700,"[[1500.           250.          2400.         ]
 [1489.232641588  250.329628288 2363.824274604]
 [1478.649356105  250.539850392 2327.237266142]
 [1468.09957281   250.768934216 2290.602603939]
 [1457.577281436  251.008749779 2253.923467343]
 [1447.076947373  251.251474457 2217.20293674 ]
 [1436.593486812  251.489583086 2180.443997383]
 [1426.122243398  251.715839387 2143.64954306 ]
 [1415.658966384  251.923289035 2106.822379652]
 [1405.199790331  252.105254963 2069.965228659]
 [1394.741216532  252.255336039 2033.080730782]
 [1384.280096573  252.367411223 1996.171449766]
 [1373.813618903  252.435653481 1959.239876839]
 [1363.339300391  252.454562518 1922.288436447]
 [1352.854987448  252.41903734  1885.319494924]
 [1342.358878699  252.324543075 1848.335376235]
 [1331.849605299  252.167536002 1811.338397481]
 [1321.326504073  251.946760773 1774.33097263 ]
 [1310.790798502  251.66866907  1737.316054788]
 [1300.           250.          1700.         ]]","[[0.3431469888926026], 0.3431469888926026]"
800,"[[1500.           250.          2400.         ]
 [1489.19842213   250.378256434 2363.919612501]
 [1478.607100305  250.619245573 2327.369113102]
 [1468.054058895  250.881742106 2290.764146902]
 [1457.532426841  251.156440911 2254.108345995]
 [1447.035876918  251.434389392 2217.405229623]
 [1436.558597346  251.706976203 2180.658208567]
 [1426.095265146  251.965921513 2143.870589354]
 [1415.641021204  252.203269165 2107.045578319]
 [1405.191447097  252.411381421 2070.186285616]
 [1394.742543888  252.582937553 2033.295729305]
 [1384.290713344  252.710938733 1996.376839716]
 [1373.8327426    252.788724072 1959.432464495]
 [1363.365794494  252.810008198 1922.465375136]
 [1352.887408845  252.768964396 1885.478276851]
 [1342.395528348  252.660415577 1848.473826544]
 [1331.888590375  252.480320627 1811.454673364]
 [1321.365839244  252.227258456 1774.42357727 ]
 [1310.82867646   251.908626283 1737.383914663]
 [1300.           250.          1700.         ]]","[[0.34320553017918115], 0.34320553017918115]"
900,"[[1500.           250.          2400.         ]
 [1489.164256804  250.42727366  2364.014985733]
 [1478.564924323  250.699215799 2327.501012129]
 [1468.008648501  250.995298638 2290.925757312]
 [1457.487696943  251.305038445 2254.293305758]
 [1446.994949312  251.618349498 2217.607615263]
 [1436.523865433  251.925531444 2180.872521906]
 [1426.068455348  252.217258419 2144.091744785]
 [1415.623251303  252.484570324 2107.268890589]
 [1405.183281702  252.718867027 2070.407458097]
 [1394.744047278  252.911906909 2033.510842756]
 [1384.301499978  253.05581251  1996.582341565]
 [1373.852025709  253.143088735 1959.625158722]
 [1363.392433462  253.166665317 1922.642412942]
 [1352.919956734  253.119990589 1885.637148528]
 [1342.432282642  252.997246683 1848.612355557]
 [1331.927655222  252.793897343 1811.571015486]
 [1321.40522684   252.508359196 1774.516234553]
 [1310.866577836  252.148981038 1737.451812808]
 [1300.           250.          1700.         ]]","[[0.3432642748787166], 0.3432642748787166]"
