Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1500.000000327  249.999999942 2378.947369557]
 [1500.000000491  249.999999913 2357.894738546]
 [1500.000000654  249.999999885 2336.842107534]
 [1500.000000818  249.999999856 2315.789476523]
 [1500.000000981  249.999999827 2294.736845512]
 [1500.000001145  249.999999798 2273.684214501]
 [1500.000001309  249.999999769 2252.63158349 ]
 [1500.000001472  249.99999974  2231.578952479]
 [1500.000001636  249.999999712 2210.526321468]
 [1500.000001799  249.999999683 2189.473690457]
 [1500.000001963  249.999999654 2168.421059446]
 [1500.000002127  249.999999625 2147.368428434]
 [1500.00000229   249.999999596 2126.315797423]
 [1500.000002454  249.999999567 2105.263166412]
 [1500.000002617  249.999999539 2084.210535401]
 [1500.000002781  249.99999951  2063.15790439 ]
 [1500.000002944  249.999999481 2042.105273379]
 [1500.000003108  249.999999452 2021.052642368]
 [1500.           250.          2000.         ]]","[[0.3452949580049753], 0.3452949580049753]"
100,"[[1500.           250.          2400.         ]
 [1500.000032716  249.999994231 2378.947481988]
 [1500.000049074  249.999991347 2357.894907192]
 [1500.000065431  249.999988463 2336.842332397]
 [1500.000081789  249.999985578 2315.789757601]
 [1500.000098147  249.999982694 2294.737182805]
 [1500.000114505  249.99997981  2273.68460801 ]
 [1500.000130863  249.999976925 2252.632033214]
 [1500.000147221  249.999974041 2231.579458419]
 [1500.000163578  249.999971157 2210.526883623]
 [1500.000179936  249.999968272 2189.474308827]
 [1500.000196294  249.999965388 2168.421734031]
 [1500.000212652  249.999962504 2147.369159236]
 [1500.000229009  249.999959619 2126.31658444 ]
 [1500.000245367  249.999956735 2105.264009644]
 [1500.000261725  249.999953851 2084.211434848]
 [1500.000278083  249.999950967 2063.158860052]
 [1500.00029444   249.999948082 2042.106285256]
 [1500.000310798  249.999945198 2021.05371046 ]
 [1500.           250.          2000.         ]]","[[0.34529501157809517], 0.34529501157809517]"
200,"[[1500.           250.          2400.         ]
 [1500.000065432  249.999988463 2378.947595555]
 [1500.000098148  249.999982694 2357.895077543]
 [1500.000130864  249.999976925 2336.842559531]
 [1500.00016358   249.999971156 2315.79004152 ]
 [1500.000196296  249.999965388 2294.737523508]
 [1500.000229011  249.999959619 2273.685005495]
 [1500.000261727  249.99995385  2252.632487483]
 [1500.000294443  249.999948082 2231.579969471]
 [1500.000327159  249.999942313 2210.527451459]
 [1500.000359874  249.999936544 2189.474933446]
 [1500.00039259   249.999930776 2168.422415434]
 [1500.000425305  249.999925007 2147.369897421]
 [1500.000458021  249.999919239 2126.317379408]
 [1500.000490736  249.99991347  2105.264861395]
 [1500.000523451  249.999907701 2084.212343382]
 [1500.000556167  249.999901933 2063.159825369]
 [1500.000588882  249.999896164 2042.107307355]
 [1500.000621597  249.999890396 2021.054789341]
 [1500.           250.          2000.         ]]","[[0.34529506569245266], 0.34529506569245266]"
300,"[[1500.           250.          2400.         ]
 [1500.000098149  249.999982694 2378.947709123]
 [1500.000147223  249.999974041 2357.895247896]
 [1500.000196297  249.999965388 2336.842786668]
 [1500.000245371  249.999956734 2315.79032544 ]
 [1500.000294445  249.999948081 2294.737864211]
 [1500.000343519  249.999939428 2273.685402983]
 [1500.000392593  249.999930775 2252.632941755]
 [1500.000441667  249.999922122 2231.580480526]
 [1500.000490741  249.999913469 2210.528019297]
 [1500.000539814  249.999904816 2189.475558068]
 [1500.000588888  249.999896163 2168.423096839]
 [1500.000637961  249.99988751  2147.370635609]
 [1500.000687034  249.999878857 2126.318174379]
 [1500.000736107  249.999870204 2105.265713148]
 [1500.00078518   249.999861552 2084.213251918]
 [1500.000834253  249.999852899 2063.160790686]
 [1500.000883325  249.999844246 2042.108329455]
 [1500.000932398  249.999835593 2021.055868223]
 [1500.           250.          2000.         ]]","[[0.3452951198069061], 0.3452951198069061]"
400,"[[1500.           250.          2400.         ]
 [1500.000130866  249.999976925 2378.947822692]
 [1500.000196299  249.999965387 2357.895418249]
 [1500.000261731  249.99995385  2336.843013805]
 [1500.000327164  249.999942312 2315.790609361]
 [1500.000392596  249.999930775 2294.738204917]
 [1500.000458029  249.999919237 2273.685800473]
 [1500.000523461  249.9999077   2252.633396028]
 [1500.000588893  249.999896162 2231.580991583]
 [1500.000654325  249.999884625 2210.528587138]
 [1500.000719756  249.999873088 2189.476182692]
 [1500.000785187  249.99986155  2168.423778246]
 [1500.000850618  249.999850013 2147.371373799]
 [1500.000916049  249.999838476 2126.318969352]
 [1500.00098148   249.999826939 2105.266564904]
 [1500.00104691   249.999815402 2084.214160455]
 [1500.00111234   249.999803864 2063.161756005]
 [1500.00117777   249.999792327 2042.109351555]
 [1500.0012432    249.99978079  2021.056947105]
 [1500.           250.          2000.         ]]","[[0.3452951739214548], 0.3452951739214548]"
500,"[[1500.           250.          2400.         ]
 [1500.000163583  249.999971156 2378.947936262]
 [1500.000245375  249.999956734 2357.895588603]
 [1500.000327166  249.999942312 2336.843240944]
 [1500.000408958  249.99992789  2315.790893285]
 [1500.000490749  249.999913468 2294.738545625]
 [1500.00057254   249.999899046 2273.686197965]
 [1500.00065433   249.999884624 2252.633850304]
 [1500.00073612   249.999870202 2231.581502643]
 [1500.00081791   249.99985578  2210.529154981]
 [1500.0008997    249.999841359 2189.476807319]
 [1500.000981489  249.999826937 2168.424459656]
 [1500.001063278  249.999812515 2147.372111992]
 [1500.001145066  249.999798094 2126.319764327]
 [1500.001226854  249.999783672 2105.267416661]
 [1500.001308642  249.999769251 2084.215068994]
 [1500.001390429  249.99975483  2063.162721326]
 [1500.001472216  249.999740409 2042.110373657]
 [1500.001554003  249.999725987 2021.058025987]
 [1500.           250.          2000.         ]]","[[0.34529522803609936], 0.34529522803609936]"
600,"[[1500.           250.          2400.         ]
 [1500.000196301  249.999965387 2378.948049832]
 [1500.000294452  249.99994808  2357.895758958]
 [1500.000392602  249.999930774 2336.843468084]
 [1500.000490753  249.999913467 2315.791177209]
 [1500.000588902  249.999896161 2294.738886334]
 [1500.000687052  249.999878854 2273.686595459]
 [1500.000785201  249.999861548 2252.634304583]
 [1500.00088335   249.999844242 2231.582013705]
 [1500.000981498  249.999826935 2210.529722827]
 [1500.001079646  249.999809629 2189.477431948]
 [1500.001177793  249.999792323 2168.425141068]
 [1500.001275939  249.999775017 2147.372850187]
 [1500.001374085  249.999757712 2126.320559304]
 [1500.001472231  249.999740406 2105.26826842 ]
 [1500.001570376  249.9997231   2084.215977534]
 [1500.00166852   249.999705795 2063.163686647]
 [1500.001766664  249.999688489 2042.111395759]
 [1500.001864808  249.999671184 2021.059104869]
 [1500.           250.          2000.         ]]","[[0.3452952821508387], 0.3452952821508387]"
700,"[[1500.           250.          2400.         ]
 [1500.00022902   249.999959618 2378.948163403]
 [1500.00034353   249.999939426 2357.895929314]
 [1500.000458039  249.999919235 2336.843695225]
 [1500.000572549  249.999899044 2315.791461136]
 [1500.000687057  249.999878853 2294.739227046]
 [1500.000801566  249.999858662 2273.686992955]
 [1500.000916073  249.999838472 2252.634758863]
 [1500.001030581  249.999818281 2231.58252477 ]
 [1500.001145087  249.99979809  2210.530290676]
 [1500.001259593  249.9997779   2189.47805658 ]
 [1500.001374098  249.999757709 2168.425822483]
 [1500.001488603  249.999737519 2147.373588384]
 [1500.001603106  249.999717329 2126.321354284]
 [1500.001717609  249.999697139 2105.269120181]
 [1500.001832111  249.999676949 2084.216886077]
 [1500.001946613  249.99965676  2063.16465197 ]
 [1500.002061114  249.99963657  2042.112417862]
 [1500.002175614  249.999616381 2021.060183751]
 [1500.           250.          2000.         ]]","[[0.3452953362656741], 0.3452953362656741]"
800,"[[1500.           250.          2400.         ]
 [1500.000261739  249.999953848 2378.948276974]
 [1500.000392608  249.999930773 2357.896099671]
 [1500.000523477  249.999907697 2336.843922368]
 [1500.000654346  249.999884621 2315.791745064]
 [1500.000785214  249.999861546 2294.739567759]
 [1500.000916081  249.99983847  2273.687390453]
 [1500.001046948  249.999815395 2252.635213146]
 [1500.001177813  249.99979232  2231.583035837]
 [1500.001308678  249.999769245 2210.530858527]
 [1500.001439543  249.99974617  2189.478681215]
 [1500.001570406  249.999723095 2168.426503901]
 [1500.001701268  249.999700021 2147.374326584]
 [1500.001832129  249.999676946 2126.322149266]
 [1500.00196299   249.999653872 2105.269971945]
 [1500.002093849  249.999630798 2084.217794621]
 [1500.002224707  249.999607724 2063.165617294]
 [1500.002355565  249.99958465  2042.113439965]
 [1500.002486421  249.999561577 2021.061262633]
 [1500.           250.          2000.         ]]","[[0.34529539038060547], 0.34529539038060547]"
900,"[[1500.           250.          2400.         ]
 [1500.000294459  249.999948079 2378.948390546]
 [1500.000441688  249.999922119 2357.89627003 ]
 [1500.000588916  249.999896158 2336.844149512]
 [1500.000736144  249.999870198 2315.792028994]
 [1500.000883371  249.999844238 2294.739908474]
 [1500.001030598  249.999818278 2273.687787953]
 [1500.001177823  249.999792318 2252.635667431]
 [1500.001325048  249.999766358 2231.583546907]
 [1500.001472272  249.999740399 2210.53142638 ]
 [1500.001619494  249.99971444  2189.479305852]
 [1500.001766715  249.99968848  2168.427185321]
 [1500.001913935  249.999662522 2147.375064787]
 [1500.002061154  249.999636563 2126.32294425 ]
 [1500.002208372  249.999610604 2105.27082371 ]
 [1500.002355588  249.999584646 2084.218703167]
 [1500.002502803  249.999558688 2063.16658262 ]
 [1500.002650017  249.999532731 2042.114462069]
 [1500.00279723   249.999506773 2021.062341516]
 [1500.           250.          2000.         ]]","[[0.3452954444956327], 0.3452954444956327]"
1000,"[[1500.           250.          2400.         ]
 [1500.000327179  249.99994231  2378.948504119]
 [1500.000490767  249.999913464 2357.896440389]
 [1500.000654356  249.999884619 2336.844376657]
 [1500.000817943  249.999855775 2315.792312925]
 [1500.00098153   249.99982693  2294.740249191]
 [1500.001145116  249.999798085 2273.688185456]
 [1500.001308701  249.999769241 2252.636121718]
 [1500.001472284  249.999740397 2231.584057979]
 [1500.001635866  249.999711553 2210.531994236]
 [1500.001799447  249.999682709 2189.479930491]
 [1500.001963027  249.999653865 2168.427866743]
 [1500.002126605  249.999625022 2147.375802991]
 [1500.002290181  249.999596179 2126.323739236]
 [1500.002453756  249.999567337 2105.271675477]
 [1500.002617329  249.999538494 2084.219611714]
 [1500.002780901  249.999509652 2063.167547946]
 [1500.002944471  249.99948081  2042.115484175]
 [1500.00310804   249.999451969 2021.063420399]
 [1500.           250.          2000.         ]]","[[0.34529549861075426], 0.34529549861075426]"
2000,"[[1500.           250.          2400.         ]
 [1500.000654404  249.999884611 2378.949639885]
 [1500.000981605  249.999826917 2357.898144036]
 [1500.001308804  249.999769223 2336.846648184]
 [1500.001635999  249.999711529 2315.795152327]
 [1500.001963191  249.999653836 2294.743656464]
 [1500.00229038   249.999596144 2273.692160594]
 [1500.002617564  249.999538453 2252.640664717]
 [1500.002944743  249.999480762 2231.589168831]
 [1500.003271917  249.999423073 2210.537672934]
 [1500.003599085  249.999365384 2189.486177026]
 [1500.003926248  249.999307697 2168.434681106]
 [1500.004253405  249.99925001  2147.383185173]
 [1500.004580555  249.999192325 2126.331689224]
 [1500.004907699  249.99913464  2105.280193261]
 [1500.005234837  249.999076957 2084.22869728 ]
 [1500.005561969  249.999019275 2063.177201283]
 [1500.005889095  249.998961594 2042.125705268]
 [1500.006216217  249.998903913 2021.074209238]
 [1500.           250.          2000.         ]]","[[0.3452960397672368], 0.3452960397672368]"
