Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1494.703058054  249.542802347 2358.042181565]
 [1489.426079297  249.355837107 2316.001215154]
 [1484.151115953  249.196374538 2273.953464418]
 [1478.878136824  249.064132803 2231.898565451]
 [1473.607103974  248.958741433 2189.836171416]
 [1468.337971722  248.879726194 2147.765961154]
 [1463.070685489  248.826491143 2105.687650083]
 [1457.805180436  248.798297282 2063.601004005]
 [1452.541379862  248.794237036 2021.505856602]
 [1447.279193314  248.813203605 1979.402131647]
 [1442.018514325  248.853853938 1937.289871254]
 [1436.759217685  248.914563746 1895.169271948]
 [1431.501156118  248.993372491 1853.040730887]
 [1426.244156147  249.08791581  1810.904905314]
 [1420.988012892  249.195342813 1768.762788991]
 [1415.732483525  249.312219264 1726.61580835 ]
 [1410.477280379  249.434444902 1684.465926684]
 [1405.222079897  249.557445279 1642.315607513]
 [1400.           250.          1600.         ]]","[[0.3384701312319959], 0.3384701312319959]"
100,"[[1500.           250.          2400.         ]
 [1491.261619817  206.456265636 2373.174067197]
 [1484.568773694  188.798756071 2337.733276709]
 [1478.07880582   173.820308755 2301.570748031]
 [1471.789218305  161.472380373 2264.642954231]
 [1465.696932333  151.699662378 2226.911423153]
 [1459.798188575  144.438831465 2188.343377344]
 [1454.088427845  139.617026547 2148.912568129]
 [1448.562147532  137.149986313 2108.600358164]
 [1443.212728138  136.939762912 2067.397124095]
 [1438.032222613  138.871903062 2025.30407457 ]
 [1433.011098934  142.811955986 1982.335611152]
 [1428.137923087  148.601126439 1938.522404042]
 [1423.39896471   156.050840904 1893.915413931]
 [1418.777699845  164.935947811 1848.591164561]
 [1414.254173496  174.986296822 1802.658626123]
 [1409.804174244  185.876906964 1756.26790218 ]
 [1405.398247899  197.220141569 1709.619146229]
 [1401.001825543  208.589021041 1662.95452844 ]
 [1400.           250.          1600.         ]]","[[0.35678325585244214], 0.35678325585244214]"
200,"[[1500.           250.          2400.         ]
 [1487.630752451  166.658578561 2389.087528227]
 [1479.431737122  133.125567727 2360.572550477]
 [1471.640686739  104.820453429 2330.543707854]
 [1464.253620056   81.611436313 2298.906384529]
 [1457.265550594   63.357917855 2265.582074865]
 [1450.670293319   49.908223953 2230.508659753]
 [1444.46022745    41.096776007 2193.641153504]
 [1438.626004713   36.740577641 2154.953014382]
 [1433.15618931    36.634844095 2114.438145958]
 [1428.036811722   40.547547548 2072.113763263]
 [1423.25081279    48.212581374 2028.024362132]
 [1418.77734638    59.321156825 1982.247117865]
 [1414.590896797   73.510939826 1934.899155667]
 [1410.660147678   90.352346302 1886.147271699]
 [1406.946507107  109.331508648 1836.220758005]
 [1403.402148043  129.830552873 1785.427507785]
 [1399.967472278  151.113074114 1734.16943274 ]
 [1396.569812982  172.377926321 1682.918949272]
 [1400.           250.          1600.         ]]","[[0.37177330417528326], 0.37177330417528326]"
300,"[[1500.           250.          2400.         ]
 [1483.891121466  129.784498405 2405.25375851 ]
 [1474.132542249   81.757082957 2383.747202592]
 [1464.988612966   41.393719148 2359.883568226]
 [1456.45458146     8.452711517 2333.516260335]
 [1448.524380854  -17.313326247 2304.530450748]
 [1441.190354415  -36.160970625 2272.84154599 ]
 [1434.442910183  -48.360308884 2238.394706086]
 [1428.270087432  -54.20026868  2201.165485694]
 [1422.657011475  -53.995213472 2161.1617291  ]
 [1417.585205815  -48.093149139 2118.426928637]
 [1413.03172031   -36.886000973 2073.045358525]
 [1408.968019238  -20.822563346 2025.149431066]
 [1405.358551017   -0.424888941 1974.92989432 ]
 [1402.158885831   23.690989648 1922.649679506]
 [1399.313245979   50.789315023 1868.662261673]
 [1396.75114709    79.985089885 1813.434481338]
 [1394.382789961  110.223937148 1757.566759197]
 [1392.094806072  140.371313635 1701.748748719]
 [1400.           250.          1600.         ]]","[[0.3841459307050251], 0.3841459307050251]"
400,"[[1500.           250.          2400.         ]
 [1480.075618279   95.21500374  2421.503738302]
 [1468.72025425    33.773110407 2407.012362937]
 [1458.187354363  -17.667171876 2389.282871299]
 [1448.471876258  -59.477886008 2368.119371649]
 [1439.567237272  -92.02845509  2343.376620301]
 [1431.464973472 -115.690933308 2314.955146407]
 [1424.154300689 -130.846280987 2282.79847245 ]
 [1417.621551788 -137.891900063 2246.892352987]
 [1411.849455891 -137.250770911 2207.266072784]
 [1406.816213564 -129.382660145 2163.995979376]
 [1402.494305787 -114.798030633 2117.211583763]
 [1398.848951212  -94.075485268 2067.104756972]
 [1395.836091255  -67.883801374 2013.942783595]
 [1393.399725878  -37.009770759 1958.086269453]
 [1391.468321951   -2.392722715 1900.012905937]
 [1389.949821325   34.836264909 1840.346634088]
 [1388.72446713    73.329392197 1779.881505935]
 [1387.63611254   111.649561814 1719.513026895]
 [1400.           250.          1600.         ]]","[[0.3945752982989049], 0.3945752982989049]"
500,"[[1500.           250.          2400.         ]
 [1476.207753581   62.492130313 2437.763177014]
 [1463.229926436  -11.506484746 2430.263069549]
 [1451.283140892  -73.253151894 2418.61539069 ]
 [1440.362367323 -123.265984806 2402.579491098]
 [1430.46087286  -162.0471268   2381.986301442]
 [1421.56983346  -190.090526117 2356.72867791 ]
 [1413.677818737 -207.890800097 2326.755439845]
 [1406.770115955 -215.953480458 2292.06868473 ]
 [1400.827847552 -214.807078814 2252.72420433 ]
 [1395.826819998 -205.017583425 2208.835058337]
 [1391.736018544 -187.206209423 2160.578605837]
 [1388.515628777 -162.071483448 2108.207566768]
 [1386.114415014 -130.417030658 2052.065989817]
 [1384.466202348  -93.18661955  1992.611284815]
 [1383.485057754  -51.507528485 1930.443410738]
 [1383.058454545   -6.739426382 1866.340229083]
 [1383.037064239   39.496232238 1801.284316894]
 [1383.220221555   85.482852745 1736.368057755]
 [1400.           250.          1600.         ]]","[[0.4035357909277166], 0.4035357909277166]"
600,"[[1500.           250.          2400.         ]
 [1472.304827828   31.274937798 2454.000744462]
 [1457.687339684  -54.587466941 2453.457305057]
 [1444.309943362 -126.02550391  2447.835288808]
 [1432.167787452 -183.715443307 2436.854717172]
 [1421.254203136 -228.299482274 2420.329234257]
 [1411.560290029 -260.396984276 2398.15042313 ]
 [1403.074343611 -280.616660452 2370.277989981]
 [1395.78108323  -289.570071244 2336.734830043]
 [1389.660623736 -287.887017571 2297.60643831 ]
 [1384.687111664 -276.23360416  2253.044516827]
 [1380.826915495 -255.334016211 2203.274995686]
 [1378.036213757 -225.997366465 2148.611056785]
 [1376.257754815 -189.151318348 2089.472136662]
 [1375.416446888 -145.884407084 2026.410213818]
 [1375.413223463  -97.498327129 1960.144531866]
 [1376.116172872  -45.566546976 1891.603152984]
 [1377.346850052    8.031931855 1821.952407821]
 [1378.858574864   61.318087763 1752.474995673]
 [1400.           250.          1600.         ]]","[[0.4113608334751068], 0.4113608334751068]"
700,"[[1500.           250.          2400.         ]
 [1468.379921732    1.305936725 2470.204798594]
 [1452.111976978  -95.851317296 2476.581527008]
 [1437.293412617 -176.481976987 2476.93226082 ]
 [1423.919613663 -241.429728451 2470.943457432]
 [1411.984073745 -291.481680108 2458.417621795]
 [1401.477976546 -327.384110115 2439.250561598]
 [1392.389584954 -349.858730865 2413.417250281]
 [1384.703390498 -359.619991816 2380.964479517]
 [1378.398955354 -357.394170228 2342.009257179]
 [1373.449350769 -343.941245951 2296.742518741]
 [1369.819055194 -320.080855626 2245.438246036]
 [1367.461115793 -286.723990891 2188.468582178]
 [1366.313284941 -244.912514752 2126.326014399]
 [1366.292690248 -195.868817271 2059.654077646]
 [1367.288309461 -141.057117284 1989.287782895]
 [1369.149890568  -82.251966169 1916.301509598]
 [1371.670360815  -21.576623435 1842.041094294]
 [1374.555723586   38.7399576   1767.975122652]
 [1400.           250.          1600.         ]]","[[0.418288563115103], 0.418288563115103]"
800,"[[1500.           250.          2400.         ]
 [1464.443153695  -27.612512048 2486.37257052 ]
 [1446.518901785 -135.590435119 2499.634732917]
 [1430.253365254 -225.003232228 2505.910995734]
 [1415.64213927  -296.869047223 2504.86003729 ]
 [1402.678888997 -352.122913754 2496.278838626]
 [1391.354948786 -391.638110395 2480.072064722]
 [1381.658691734 -416.247274649 2456.233315351]
 [1373.574617291 -426.764024262 2424.835323631]
 [1367.082079425 -424.006082441 2386.027412053]
 [1362.153542406 -408.821167841 2340.039422303]
 [1358.752200537 -382.11723893  2287.192060656]
 [1356.828722915 -344.899098909 2227.914240295]
 [1356.316767254 -298.313837265 2162.768593098]
 [1357.126710107 -243.7078664   2092.486762824]
 [1359.136667897 -182.697346209 2018.01574716 ]
 [1362.179048025 -117.246812284 1940.572370381]
 [1366.018655573  -49.712680337 1861.678275216]
 [1370.313041642   17.435164727 1782.985290442]
 [1400.           250.          1600.         ]]","[[0.42449273303049884], 0.42449273303049884]"
900,"[[1500.           250.          2400.         ]
 [1460.502497779  -55.634494307 2502.504996931]
 [1440.919979519 -174.032437314 2522.620903196]
 [1423.205398895 -271.884883005 2534.781568935]
 [1407.354467971 -350.389719909 2538.623518647]
 [1393.360963288 -410.631540869 2533.943254629]
 [1381.216364734 -453.609724756 2520.658156038]
 [1370.909223168 -480.265142199 2498.782973063]
 [1362.424201727 -491.50657118  2468.417622279]
 [1355.740704942 -488.238146525 2429.743820878]
 [1350.830966578 -471.389426594 2383.029370039]
 [1347.657405198 -441.950003695 2328.639858959]
 [1346.168964024 -401.011041023 2267.058364757]
 [1346.296006652 -349.816648706 2198.914434737]
 [1347.943094313 -289.828336659 2125.024143443]
 [1350.97849958  -222.804682719 2046.442582182]
 [1355.218242977 -150.8903882   1964.525234861]
 [1360.399520805  -76.665634466 1880.966354391]
 [1366.130442621   -2.834910778 1797.599819699]
 [1400.           250.          1600.         ]]","[[0.430102948648278], 0.430102948648278]"
