Iteration,Trajectory,Legibility
1,"[[1500.           160.          2400.         ]
 [1515.790801413  160.000938227 2363.157792817]
 [1531.580808709  160.001487587 2326.31564757 ]
 [1547.370736282  160.002066093 2289.47351036 ]
 [1563.160588474  160.002655381 2252.631381467]
 [1578.950368853  160.003236957 2215.789260969]
 [1594.740080233  160.003792151 2178.947148755]
 [1610.529724685  160.004302077 2142.105044529]
 [1626.319303542  160.004747601 2105.262947821]
 [1642.108817417  160.005109324 2068.420858005]
 [1657.898266208  160.005367583 2031.578774306]
 [1673.687649123  160.005502498 1994.736695827]
 [1689.476964716  160.00549409  1957.89462157 ]
 [1705.266210958  160.005322555 1921.052550467]
 [1721.055385409  160.004968844 1884.210481416]
 [1736.844485587  160.004415965 1847.368413336]
 [1752.633509916  160.003652081 1810.526345233]
 [1768.422460403  160.002678767 1773.68427631 ]
 [1784.211351515  160.001536495 1736.842206225]
 [1800.           160.          1700.         ]]","[[0.3525389699892581, 0.3623161416077209, 0.35786363055807785], 0.3575729140516856]"
100,"[[1500.           160.          2400.         ]
 [1515.922179236  160.094020193 2363.147697848]
 [1531.764981719  160.149047895 2326.301592156]
 [1547.599813676  160.206980214 2289.45629059 ]
 [1563.427109704  160.26597892  2252.611821147]
 [1579.24722725   160.324193054 2215.768191795]
 [1595.060448123  160.379754533 2178.925391244]
 [1610.86697972   160.430774196 2142.083389842]
 [1626.666956062  160.475338602 2105.24214065 ]
 [1642.460438782  160.511508102 2068.401580724]
 [1658.247418343  160.537317167 2031.561632704]
 [1674.027815977  160.550778765 1994.722206757]
 [1689.801487341  160.549896371 1957.883203001]
 [1705.56823003   160.53269096  1921.044514542]
 [1721.327799845  160.497259414 1884.206031335]
 [1737.079948304  160.441904283 1847.367645199]
 [1752.824516873  160.365443286 1810.529256759]
 [1768.561704478  160.268035037 1773.690786541]
 [1784.29295536   160.153727356 1736.852200196]
 [1800.           160.          1700.         ]]","[[0.35257403248386376, 0.3622066545311856, 0.3580222403152093], 0.35760097577675287]"
200,"[[1500.           160.          2400.         ]
 [1516.054748414  160.188438238 2363.137491067]
 [1531.950814099  160.298678115 2326.287380757]
 [1547.83094235   160.414707431 2289.438879628]
 [1563.696003315  160.532845551 2252.592043737]
 [1579.546712813  160.649387475 2215.746889002]
 [1595.383635395  160.760594983 2178.903392757]
 [1611.207186824  160.862688668 2142.061495572]
 [1627.017636148  160.951841459 2105.221103407]
 [1642.815107665  161.024174701 2068.382090206]
 [1658.59958333   161.075758729 2031.544301079]
 [1674.370906563  161.102621552 1994.70755621 ]
 [1690.128789484  161.100772758 1957.871655718]
 [1705.872827795  161.066257387 1921.036385748]
 [1721.602533133  160.995272585 1884.201526203]
 [1737.317407806  160.884426879 1847.36686079 ]
 [1753.017132873  160.731358805 1810.532190886]
 [1768.702102653  160.536387762 1773.697357706]
 [1784.375200411  160.307610358 1736.862292626]
 [1800.           160.          1700.         ]]","[[0.35260940451496364, 0.3620955543721239, 0.3581826297596516], 0.3576291962155797]"
300,"[[1500.           160.          2400.         ]
 [1516.187180746  160.283252292 2363.127274411]
 [1532.136443806  160.448887917 2326.273155303]
 [1548.06180616   160.623178049 2289.421451357]
 [1563.964574456  160.800595486 2252.572246755]
 [1579.845823811  160.975578123 2215.725565342]
 [1595.70640246   161.142515568 2178.881372999]
 [1611.5469355    161.295737098 2142.039580385]
 [1627.367828015  161.429501842 2105.200046201]
 [1643.169268008  161.537992796 2068.36258111 ]
 [1658.951229949  161.615317569 2031.526952521]
 [1674.713480416  161.655521285 1994.692890486]
 [1690.455588799  161.652622294 1957.860095009]
 [1706.176949423  161.600692797 1921.028245209]
 [1721.876829797  161.494033578 1884.19701093 ]
 [1737.554482302  161.327562565 1847.366067829]
 [1753.209425708  161.097742184 1810.535118169]
 [1768.842246188  160.805054774 1773.703924017]
 [1784.457260799  160.461646635 1736.87238255 ]
 [1800.           160.          1700.         ]]","[[0.3526447314960699, 0.36198394645499726, 0.35834319580539875], 0.35765729125215523]"
400,"[[1500.           160.          2400.         ]
 [1516.319475761  160.378460509 2363.117047899]
 [1532.321870146  160.599674556 2326.25891582 ]
 [1548.292404196  160.832388462 2289.404005809]
 [1564.232822018  161.069224313 2252.552430235]
 [1580.144558957  161.302759851 2215.704220856]
 [1596.028747869  161.525510498 2178.859332009]
 [1611.88622416   161.729913162 2142.017644319]
 [1627.717529963  161.908313016 2105.178969069]
 [1643.522918022  162.05295538  2068.343053467]
 [1659.302356362  162.155986558 2031.509587057]
 [1675.055535685  162.209470878 1994.678209607]
 [1690.78188346   162.205438106 1957.848520893]
 [1706.480593161  162.135990696 1921.020092938]
 [1722.150688208  161.993536452 1884.192485522]
 [1737.791170334  161.771306109 1847.36526632 ]
 [1753.401394144  161.46458905  1810.538038607]
 [1768.982134123  161.074032668 1773.710485472]
 [1784.539135862  160.615833813 1736.882469961]
 [1800.           160.          1700.         ]]","[[0.35268001323228265, 0.3618718327393446, 0.35850393658690205], 0.3576852608528431]"
500,"[[1500.           160.          2400.         ]
 [1516.451632993  160.47406104  2363.106811549]
 [1532.50709243   160.751035283 2326.244662335]
 [1548.522735558  161.042335058 2289.386543017]
 [1564.500744906  161.338727613 2252.532594216]
 [1580.442916976  161.630927506 2215.682855581]
 [1596.350670187  161.909573975 2178.837269827]
 [1612.225051231  162.165210525 2141.995687413]
 [1628.066740303  162.388268236 2105.157872046]
 [1643.876055938  162.569055436 2068.323507311]
 [1659.652960747  162.697758563 2031.492204716]
 [1675.397070531  162.76446324  1994.663513598]
 [1691.107671656  162.759213312 1957.836933388]
 [1706.783757269  162.672144588 1921.011928947]
 [1722.424106748  162.49377526  1884.187949987]
 [1738.027470457  162.215652275 1847.364456265]
 [1753.593036961  161.831895024 1810.540952202]
 [1769.121765504  161.343318037 1773.717042068]
 [1784.620824941  160.77016952  1736.892554855]
 [1800.           160.          1700.         ]]","[[0.3527152495300638, 0.36175921519480375, 0.3586648502388979], 0.3577131049879218]"
600,"[[1500.           160.          2400.         ]
 [1516.583651982  160.570052035 2363.09656538 ]
 [1532.692109974  160.902967345 2326.230394874]
 [1548.752799354  161.253014221 2289.369063012]
 [1564.768342032  161.609100961 2252.512738733]
 [1580.740896601  161.960075929 2215.661469557]
 [1596.67216799   162.294700196 2178.815186494]
 [1612.563415152  162.601622849 2141.973709705]
 [1628.415457366  162.869360751 2105.136755169]
 [1644.22868      163.086285943 2068.303942673]
 [1660.003041299  163.240626439 2031.474805526]
 [1675.738083134  163.320491272 1994.648802482]
 [1691.432951591  163.313941025 1957.825332512]
 [1707.086440023  163.209147967 1921.00375325 ]
 [1722.69708381   162.994744048 1884.183404336]
 [1738.263381236  162.660595825 1847.363637669]
 [1753.784352946  162.199655723 1810.543858954]
 [1769.261139385  161.612907475 1773.723593803]
 [1784.702327383  160.924651386 1736.902637229]
 [1800.           160.          1700.         ]]","[[0.35275044019725177, 0.36164609580104523, 0.3588259348964793], 0.35774082363159215]"
700,"[[1500.           160.          2400.         ]
 [1516.715532269  160.666431641 2363.08630941 ]
 [1532.876922101  161.055467986 2326.216113463]
 [1548.982594701  161.464422331 2289.351565828]
 [1565.035612319  161.880339929 2252.492863825]
 [1581.038496581  162.290199955 2215.640062824]
 [1596.993239868  162.680883351 2178.793082048]
 [1612.901314378  163.039143785 2141.951711235]
 [1628.763679495  163.351583802 2105.115618475]
 [1644.580788471  163.604639867 2068.284359589]
 [1660.352596226  163.784583036 2031.457389517]
 [1676.078571688  163.877547865 1994.634076285]
 [1691.757721486  163.86961435  1957.813718286]
 [1707.388639712  163.746994322 1920.995565863]
 [1722.969617802  163.496436858 1884.178848576]
 [1738.498901248  163.106131513 1847.362810538]
 [1753.975340894  162.567866764 1810.546758864]
 [1769.400254826  161.882797571 1773.730140673]
 [1784.78364254   161.079277036 1736.912717077]
 [1800.           160.          1700.         ]]","[[0.35278558504306645, 0.3615324765477105, 0.358987188695153], 0.3577684167619766]"
800,"[[1500.           160.          2400.         ]
 [1516.847273402  160.763198002 2363.076043658]
 [1533.061528142  161.208534447 2326.201818129]
 [1549.212120721  161.676555764 2289.334051498]
 [1565.302554702  162.152440082 2252.472969528]
 [1581.335715675  162.621294413 2215.618635421]
 [1597.313884424  163.068117623 2178.770956531]
 [1613.238747378  163.47776698  2141.929692042]
 [1629.111405049  163.834930621 2105.094462001]
 [1644.932379625  164.124110171 2068.264758092]
 [1660.701623755  164.329621198 2031.439956719]
 [1676.418534403  164.435625906 1994.61933503 ]
 [1692.081979575  164.426226386 1957.80209073 ]
 [1707.69035464   164.285677135 1920.987366799]
 [1723.241707144  163.998847727 1884.174282718]
 [1738.73402908   163.552254091 1847.361974877]
 [1754.16599961   162.936523757 1810.549651932]
 [1769.539110894  162.152984914 1773.736682679]
 [1784.864769769  161.234044099 1736.922794395]
 [1800.           160.          1700.         ]]","[[0.35282068387812043, 0.36141835943433887, 0.35914860977091506], 0.3577958843611248]"
900,"[[1500.           160.          2400.         ]
 [1516.978874932  160.860349261 2363.065768143]
 [1533.245927431  161.362163966 2326.187508899]
 [1549.441376547  161.88941089  2289.316520055]
 [1565.569168122  162.425396981 2252.453055879]
 [1581.632552651  162.953354125 2215.597187389]
 [1597.634100275  163.456397188 2178.748809983]
 [1613.575712636  163.917486072 2141.907652168]
 [1629.458632402  164.319394435 2105.073285785]
 [1645.283451757  164.64468981  2068.245138216]
 [1661.050122127  164.875733759 2031.422507162]
 [1676.757969507  164.994718274 1994.604578744]
 [1692.405724108  164.983770225 1957.790449863]
 [1707.991583125  164.825189885 1920.979156074]
 [1723.513350271  164.501970686 1884.169706772]
 [1738.96876333   163.998958307 1847.361130691]
 [1754.35632791   163.305622313 1810.552538161]
 [1769.677706667  162.423466091 1773.743219817]
 [1784.945708434  161.388950203 1736.932869179]
 [1800.           160.          1700.         ]]","[[0.35285573651442015, 0.36130374647030356, 0.35931019626030974], 0.3578232264150112]"
1000,"[[1500.           160.          2400.         ]
 [1517.110336413  160.957883558 2363.055482883]
 [1533.43011931   161.516353776 2326.173185799]
 [1549.67036132   162.102984076 2289.298971532]
 [1565.835451533  162.699206182 2252.433122918]
 [1581.929006294  163.28637391  2215.575718769]
 [1597.953886051  163.845716216 2178.726642446]
 [1613.912208648  164.358294693 2141.885591651]
 [1629.805359944  164.804968465 2105.052089866]
 [1645.634003174  165.16637173  2068.225499997]
 [1661.398089601  165.422913548 2031.405040877]
 [1677.096875242  165.554817843 1994.589807452]
 [1692.728953353  165.542238953 1957.778795707]
 [1708.292323499  165.365526043 1920.970933704]
 [1723.784545628  165.005799761 1884.16512075 ]
 [1739.203102611  164.446238904 1847.360277985]
 [1754.546324619  163.675158037 1810.555417553]
 [1769.816041225  162.69423769  1773.749752088]
 [1785.026457902  161.543992977 1736.942941427]
 [1800.           160.          1700.         ]]","[[0.35289074276538157, 0.36118863967474374, 0.3594719463005023], 0.3578504429135425]"
2000,"[[1500.           160.          2400.         ]
 [1518.417153762  161.953883148 2362.952098579]
 [1535.260490319  163.088457429 2326.029198052]
 [1551.945117946  164.277407427 2289.122554409]
 [1568.479912087  165.483193855 2252.232739603]
 [1584.872199838  166.668231955 2215.359909314]
 [1601.127797633  167.79479054  2178.503822031]
 [1617.25104022   168.824899937 2141.663860392]
 [1633.244802589  169.720274565 2104.839055734]
 [1649.110517511  170.442260498 2068.028116963]
 [1664.848193491  170.951826954 2031.22946513 ]
 [1680.456442273  171.20963739  1994.44127536 ]
 [1695.932534603  171.176270299 1957.661528232]
 [1711.272524847  170.812735365 1920.888073357]
 [1726.471539611  170.081609876 1884.118708993]
 [1741.524474557  168.949587085 1847.351284061]
 [1756.427802296  167.393591401 1810.58383613 ]
 [1771.184823573  165.41717508  1773.81480697 ]
 [1785.823411635  163.101416281 1737.043523669]
 [1800.           160.          1700.         ]]","[[0.35323821405425937, 0.36001086203617283, 0.3610980327472668], 0.35811570294589967]"
3000,"[[1500.           160.          2400.         ]
 [1519.709508898  162.986127831 2362.847761401]
 [1537.069443817  164.71352857  2325.883854249]
 [1554.191885876  166.519615606 2288.944467592]
 [1571.090296197  168.347492763 2252.030468603]
 [1587.775808902  170.140362072 2215.142087865]
 [1604.257293879  171.841361139 2178.278950855]
 [1620.541404014  173.39341385  2141.440112563]
 [1636.632609228  174.739102771 2104.624096767]
 [1652.533221093  175.820578524 2067.82894172 ]
 [1668.243414747  176.579534294 2031.052254328]
 [1683.761261218  176.957298486 1994.291275374]
 [1699.082797144  176.895149919 1957.542958892]
 [1714.202191224  176.335072556 1920.804069749]
 [1729.112147491  175.221434135 1884.071305026]
 [1743.804907427  173.504770306 1847.341448282]
 [1758.27489914   171.150895024 1810.611576019]
 [1772.526531546  168.16539445  1773.879375836]
 [1786.600791362  164.669904    1737.143849551]
 [1800.           160.          1700.         ]]","[[0.35358085230896286, 0.35878599201639305, 0.3627384323073213], 0.3583684255442257]"
4000,"[[1500.           160.          2400.         ]
 [1520.987028901  164.0527333   2362.742491987]
 [1538.856428481  166.388765171 2325.737184   ]
 [1556.409945727  168.825928889 2288.764747955]
 [1573.665728487  171.287602548 2251.826352172]
 [1590.638815684  173.697518219 2214.922300149]
 [1607.341229658  175.979529386 2178.052076291]
 [1623.782044386  178.057396063 2141.214395514]
 [1639.967432586  179.854598494 2104.407258837]
 [1655.900696379  181.294199511 2067.628017427]
 [1671.582289917  182.298792709 2030.873447919]
 [1687.009850554  182.79060658  1994.139842459]
 [1702.178273183  182.691902732 1957.423117609]
 [1717.079904653  181.925955519 1920.718947415]
 [1731.705041502  180.419254823 1884.022927854]
 [1746.043207787  178.106499069 1847.330784196]
 [1760.086601975  174.942656259 1810.638645587]
 [1773.840374954  170.935480148 1773.943462357]
 [1787.358057453  166.247104231 1737.243918657]
 [1800.           160.          1700.         ]]","[[0.3539184953457708, 0.35751619817114355, 0.36439130279832066], 0.3586086654384117]"
5000,"[[1500.           160.          2400.         ]
 [1522.249386053  165.151808385 2362.636312044]
 [1540.620960179  168.111355255 2325.589218521]
 [1558.598666362  171.192655017 2288.583434518]
 [1576.205441608  174.29900835  2251.620435252]
 [1593.460328547  177.334438614 2214.700595113]
 [1610.378602067  180.203380436 2177.823249455]
 [1626.971861457  182.810390273 2140.986760834]
 [1643.248091666  185.059892223 2104.188592501]
 [1659.211699113  186.855983877 2067.425392309]
 [1674.863531866  188.102348215 2030.693090703]
 [1690.20090377   188.702358551 1993.9870171  ]
 [1705.217664057  188.559547912 1957.30203986 ]
 [1719.904405804  187.578799447 1920.632736317]
 [1734.249037694  185.669054781 1883.973601612]
 [1748.238307436  182.749488125 1847.319309984]
 [1761.86200153   178.764471221 1810.665057147]
 [1775.12564487   173.724031275 1774.007073285]
 [1788.094729093  167.830687857 1737.343732646]
 [1800.           160.          1700.         ]]","[[0.354250996649486, 0.3562037293433813, 0.366054822894657], 0.3588365162958414]"
6000,"[[1500.           160.          2400.         ]
 [1523.496298922  166.281461584 2362.529244336]
 [1542.362623589  169.878486615 2325.43999062 ]
 [1560.757507047  173.616101971 2288.400568434]
 [1578.708778937  177.377196481 2251.412765463]
 [1596.239585235  181.045864054 2214.477024929]
 [1613.368554147  184.507003907 2177.592525214]
 [1630.109915286  187.645946935 2140.757264366]
 [1646.473576328  190.348123804 2103.96815302 ]
 [1662.465163229  192.498804164 2067.221119678]
 [1678.086034925  193.982961709 2030.511232858]
 [1693.33329464   194.685368732 1993.83284534 ]
 [1708.199845512  194.491124316 1957.179766717]
 [1722.674599141  193.287041    1920.545471891]
 [1736.743100794  190.964839667 1883.923355601]
 [1750.389267804  187.428476141 1847.307048502]
 [1763.600296194  182.611961246 1810.690826998]
 [1776.381716567  176.527674421 1774.070218482]
 [1788.810386299  169.418357284 1737.443295288]
 [1800.           160.          1700.         ]]","[[0.35457822599720284, 0.35485090559059496, 0.36772719872636167], 0.3590521101047199]"
7000,"[[1500.           160.          2400.         ]
 [1524.727533211  167.439807573 2362.421312664]
 [1544.081073475  171.687356496 2325.289534666]
 [1562.886019161  176.092590724 2288.216192952]
 [1581.175196708  180.517670046 2251.203393065]
 [1598.975955432  184.826556186 2214.251644947]
 [1616.310377857  188.884514498 2177.359962144]
 [1633.195429227  192.557645877 2140.525966163]
 [1649.643050989  195.712466648 2103.746000325]
 [1665.660204841  198.21557037  2067.015257904]
 [1681.248879099  199.933434914 2030.327929917]
 [1696.406081579  200.732494889 1993.677378749]
 [1711.123872097  200.479715879 1957.056344815]
 [1725.389557239  199.044162465 1920.45719501 ]
 [1739.186348306  196.300660199 1883.872224264]
 [1752.495283696  192.138245355 1847.294027259]
 [1765.300795233  186.480789311 1810.715975413]
 [1777.608052038  179.343076328 1774.13291092 ]
 [1789.504671615  171.007855056 1737.542612462]
 [1800.           160.          1700.         ]]","[[0.3549000700018737, 0.3534601084392522, 0.36940667033962676], 0.3592556162602509]"
8000,"[[1500.           160.          2400.         ]
 [1525.942902363  168.624973629 2362.312541822]
 [1545.776035611  173.535181169 2325.137886534]
 [1564.983847429  178.618467817 2288.03035335 ]
 [1583.604265571  183.715964369 2250.992370872]
 [1601.668942642  188.67131554  2214.024513606]
 [1619.203516265  193.330072352 2177.125622438]
 [1636.227792429  197.539118652 2140.292930394]
 [1652.755857409  201.146151671 2103.522198917]
 [1668.796125276  203.999255018 2066.807870311]
 [1684.351333298  205.946636047 2030.143242661]
 [1699.418510998  206.836663931 1993.520674328]
 [1713.98898059   206.518476754 1956.931826262]
 [1728.048524189  204.843715661 1920.367951908]
 [1741.578053801  201.670634164 1883.82024711 ]
 [1754.555686331  196.87364101  1847.280278355]
 [1766.962921425  190.366676256 1810.740526587]
 [1778.804202049  182.166956354 1774.195166648]
 [1790.177291474  172.596972249 1737.641692147]
 [1800.           160.          1700.         ]]","[[0.35521643256806457, 0.35203377056119384, 0.37109151795073114], 0.3594472403599965]"
9000,"[[1500.           160.          2400.         ]
 [1527.142267923  169.835105928 2362.202957555]
 [1547.447307316  175.419205293 2324.985083529]
 [1567.050730659  181.190117684 2287.843096833]
 [1585.995671536  186.967662094 2250.779754146]
 [1604.318185346  192.574999197 2213.795692313]
 [1622.047564932  197.837903005 2176.889571764]
 [1639.206561436  202.584070433 2140.058225193]
 [1655.811516495  206.642490736 2103.296817708]
 [1671.872413072  209.842917693 2066.599025024]
 [1687.392857508  212.015524962 2029.957236964]
 [1702.370019626  212.990897097 1993.362794349]
 [1716.794592409  212.600655931 1956.806268483]
 [1730.650918056  210.679345372 1920.277794021]
 [1743.917649337  207.068967983 1883.767468577]
 [1756.569945615  201.629590388 1847.265838359]
 [1768.586213049  194.265416639 1810.764508542]
 [1779.969807702  184.996098609 1774.25700472 ]
 [1790.828017187  174.183556573 1737.740544381]
 [1800.           160.          1700.         ]]","[[0.3555272352532661, 0.3505743649793243, 0.3727800679272907], 0.3596272227199604]"
10000,"[[1500.           160.          2400.         ]
 [1528.32553964   171.068375651 2362.092586482]
 [1549.094757625  177.336711007 2324.831164291]
 [1569.086501982  183.803974606 2287.654472419]
 [1588.349216295  190.268407844 2250.565600443]
 [1606.923457434  196.532537923 2213.565245267]
 [1624.842272454  202.402316733 2176.651879082]
 [1642.131460859  207.686301238 2139.821922466]
 [1658.809729116  212.194899388 2103.069929819]
 [1674.888744935  215.739728852 2066.388794741]
 [1690.373103884  218.133177539 2029.769983562]
 [1705.260235737  219.188334379 1993.203806127]
 [1719.54031497   218.719621125 1956.679733995]
 [1733.196332329  216.544812058 1920.186777783]
 [1746.204726956  212.489977613 1883.713937834]
 [1758.537671621  206.401121234 1847.250748139]
 [1770.170325228  198.172894064 1810.787952987]
 [1781.104601468  187.827363635 1774.318447099]
 [1791.456685553  175.765520066 1737.839181197]
 [1800.           160.          1700.         ]]","[[0.3558324175292932, 0.34908439392043644, 0.37447069843434866], 0.35979583662802606]"
11000,"[[1500.           160.          2400.         ]
 [1529.492675305  172.322984851 2361.981456026]
 [1550.718327053  179.285026663 2324.67616868 ]
 [1571.091088565  186.456534194 2287.46453078 ]
 [1590.664816911  193.613922288 2250.349969439]
 [1609.484667877  200.538952623 2213.333239258]
 [1627.587540155  207.017727121 2176.412616414]
 [1645.002383106  212.839726317 2139.584097632]
 [1661.75037589   217.796918679 2102.841612308]
 [1677.844985608  221.682992674 2066.177256466]
 [1693.29191674   224.292809083 2029.58155778 ]
 [1708.088979263  225.422257964 1993.043781743]
 [1722.225941945  224.86888168  1956.552290133]
 [1735.684536338  222.434013638 1920.094964358]
 [1748.439039248  217.92810857  1883.659708543]
 [1760.458615236  211.183379404 1847.235052649]
 [1771.715030558  202.085095824 1810.810895143]
 [1782.208407675  190.657699517 1774.379518521]
 [1792.063199067  177.340846337 1737.937616542]
 [1800.           160.          1700.         ]]","[[0.3561319369396256, 0.3475663774409724, 0.37616184468770364], 0.3599533863561006]"
12000,"[[1500.           160.          2400.         ]
 [1530.643680331  173.597172038 2361.86959432 ]
 [1552.318026984  181.261535126 2324.520137643]
 [1573.064510824  189.144364304 2287.273324079]
 [1592.942504872  197.000015525 2250.132922722]
 [1612.00185966   204.589369978 2213.099743427]
 [1630.283420923  211.678668719 2176.171858579]
 [1647.819387162  218.038395515 2139.344829343]
 [1664.63351595   223.442235897 2102.611945861]
 [1680.741186671  227.666168749 2065.964491179]
 [1696.149331406  230.487796535 2029.39203919 ]
 [1710.85626079   231.686114462 1992.882797702]
 [1724.851452433  231.042110294 1956.42400872 ]
 [1738.115474631  228.34100613  1920.002419325]
 [1750.620498951  223.377954904 1883.604838563]
 [1762.332667961  215.971645553 1847.21880067 ]
 [1773.220219043  205.998126723 1810.833373528]
 [1783.281142443  193.484152307 1774.440246334]
 [1792.647525724  178.907597252 1738.035866176]
 [1800.           160.          1700.         ]]","[[0.3564257691500109, 0.3460228419568014, 0.3778520037629286], 0.36010020495658024]"
13000,"[[1500.           160.          2400.         ]
 [1531.778607084  174.889217422 2361.757030108]
 [1553.893938676  183.26368159  2324.363113065]
 [1575.006881122  191.864115304 2287.080905774]
 [1595.182424517  200.422599651 2249.914523555]
 [1614.475207973  208.679037137 2212.864828994]
 [1632.930117206  216.379813609 2175.929682885]
 [1650.582696437  223.276511439 2139.104199142]
 [1667.459384695  229.124704005 2102.381014439]
 [1683.577584253  233.682892416 2065.750583465]
 [1698.945571998  236.711699282 2029.201511231]
 [1713.562279429  237.973535729 1992.720934549]
 [1727.41700902   237.23316335  1956.294965682]
 [1740.489265304  234.260022957 1919.909212313]
 [1752.749177581  228.834276913 1883.549389616]
 [1764.159860865  220.761350698 1847.202044515]
 [1774.68589731   209.908221924 1810.855429714]
 [1784.322813046  196.303875659 1774.500660319]
 [1793.209698416  180.463919012 1738.133947551]
 [1800.           160.          1700.         ]]","[[0.35671390789112695, 0.34445630881040995, 0.3795397389156079], 0.3602366518723816]"
14000,"[[1500.           160.          2400.         ]
 [1532.897553955  176.197447799 2361.643792637]
 [1555.446211886  185.288980823 2324.205137611]
 [1576.918401982  194.612529605 2286.887330404]
 [1597.384830863  203.877700431 2249.694836623]
 [1616.905017681  212.803335344 2212.628568964]
 [1635.527978182  221.115986772 2175.686168795]
 [1653.292695691  228.548446299 2138.862291105]
 [1670.228390548  234.838359646 2102.148904885]
 [1686.354595702  239.726993582 2065.5356211  ]
 [1701.681048074  242.958278402 2029.010060786]
 [1716.207419589  244.278358107 1992.558276442]
 [1729.922954769  243.436099676 1956.165240632]
 [1742.806197288  240.185492745 1919.815416596]
 [1754.825303123  234.292017462 1883.493426907]
 [1765.94036269   225.548090527 1847.184839694]
 [1776.112187114  213.811758726 1810.877108049]
 [1785.33351673   199.114139586 1774.560792476]
 [1793.749813926  182.008047568 1738.23187968 ]
 [1800.           160.          1700.         ]]","[[0.3569963647937258, 0.3428692830082113, 0.3812236833762448], 0.36036311039272734]"
15000,"[[1500.           160.          2400.         ]
 [1534.000664199  177.520241016 2361.52991154 ]
 [1556.975063148  187.335023822 2324.046254551]
 [1578.799363822  197.386450387 2286.692653372]
 [1599.550086837  207.361467979 2249.473927758]
 [1619.291720108  216.957792401 2212.391037799]
 [1638.077496143  225.882180133 2175.441397571]
 [1655.949927091  233.848757288 2138.619191437]
 [1672.941110757  240.577439571 2101.915706495]
 [1689.07281524   245.792513876 2065.319694606]
 [1704.356350264  249.221514182 2028.817777717]
 [1718.792246689  250.594639912 1992.394910683]
 [1732.369809151  249.64519759  1956.034916407]
 [1745.066726651  246.112055463 1919.721108659]
 [1756.849256782  239.746316756 1883.437018727]
 [1767.674477135  230.327638317 1847.167244558]
 [1777.499323148  217.705267145 1810.898455359]
 [1786.313438967  201.91233827  1774.620676799]
 [1794.268031524  183.538313319 1738.329682981]
 [1800.           160.          1700.         ]]","[[0.3572731691182079, 0.34126424225696683, 0.38290254359176956], 0.36047998498898143]"
16000,"[[1500.           160.          2400.         ]
 [1535.08812455   178.856030006 2361.41541671 ]
 [1558.480773714  189.399483804 2323.886507579]
 [1580.650142249  200.18282947  2286.496930699]
 [1601.678659962  210.87018638  2249.251863646]
 [1621.635869163  221.138093891 2212.152311088]
 [1640.579302128  230.673565186 2175.195451885]
 [1658.555085425  239.172200388 2138.374988056]
 [1675.598286298  246.336395372 2101.681510568]
 [1691.733008655  251.873722013 2065.102896772]
 [1706.972244889  255.49562179  2028.624754374]
 [1721.317501863  256.916677058 1992.230927227]
 [1734.758262997  255.854970095 1955.904078583]
 [1747.271471931  252.034576789 1919.626367722]
 [1758.821568853  245.192525449 1883.380236012]
 [1769.362639353  235.095956371 1847.149319916]
 [1778.847650191  221.585439243 1810.919520628]
 [1787.2628512    204.695996852 1774.680349031]
 [1794.764571198  185.053145063 1738.427379123]
 [1800.           160.          1700.         ]]","[[0.35754436738216694, 0.3396436264217983, 0.3845751018944692], 0.36058769856614487]"
17000,"[[1500.           160.          2400.         ]
 [1536.160163625  180.20330637  2361.300338179]
 [1559.963687178  191.480121524 2323.725940624]
 [1582.471194943  202.998734285 2286.30021878 ]
 [1603.771118535  214.400282203 2249.02871153 ]
 [1623.938136866  225.340093089 2211.912465187]
 [1643.034160864  235.485504135 2174.948415425]
 [1661.109012551  244.513742533 2138.129770152]
 [1678.200815928  252.109906435 2101.446409935]
 [1694.336107101  257.965127281 2064.885322158]
 [1709.529667651  261.775064998 2028.431085089]
 [1723.784095717  263.239016711 1992.066418161]
 [1737.089172494  262.060178122 1955.772814963]
 [1749.421208577  257.948160595 1919.531275259]
 [1760.742913757  250.626216016 1883.323151896]
 [1771.005411694  239.849205885 1847.13112863 ]
 [1780.157619618  225.449137109 1810.940354663]
 [1788.182108078  207.462777167 1774.73984641 ]
 [1795.239711521  186.551073185 1738.524990855]
 [1800.           160.          1700.         ]]","[[0.3578100228908199, 0.3380098275190281, 0.38624021858812135], 0.36068668966598977]"
