Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1500.000073812  249.993810801 2352.633906463]
 [1500.000101157  249.99126845  2305.26650826 ]
 [1500.000122744  249.989093636 2257.899007297]
 [1500.000139011  249.987284682 2210.531396931]
 [1500.000150379  249.985838717 2163.163670604]
 [1500.000157252  249.984751427 2115.795821967]
 [1500.000160024  249.984016769 2068.427845054]
 [1500.000159078  249.98362661  2021.059734494]
 [1500.000154793  249.983570293 1973.69148581 ]
 [1500.000147545  249.983834092 1926.323095805]
 [1500.000137714  249.984400541 1878.954563074]
 [1500.000125692  249.985247586 1831.585888695]
 [1500.000111885  249.986347499 1784.217077156]
 [1500.000096725  249.987665472 1736.848137629]
 [1500.000080677  249.989157767 1689.479085732]
 [1500.000064242  249.990769293 1642.109946018]
 [1500.000047939  249.992431015 1594.74075527 ]
 [1500.000032157  249.994063883 1547.371563534]
 [1500.           250.          1500.         ]]","[[0.3431137182076125, 0.3388320560589016, 0.338824084582093], 0.3402566196162023]"
100,"[[1500.           250.          2400.         ]
 [1500.007404144  249.381423405 2352.864493379]
 [1500.010149472  249.127353387 2305.598431171]
 [1500.012318134  248.910027528 2258.32208257 ]
 [1500.013953679  248.729275377 2211.034780894]
 [1500.01509796   248.584807013 2163.735868653]
 [1500.015791358  248.476188958 2116.424710142]
 [1500.016073053  248.402814962 2069.100708144]
 [1500.01598133   248.363870378 2021.763326017]
 [1500.015553949  248.358288463 1974.412116904]
 [1500.014828577  248.384696361 1927.046762393]
 [1500.013843293  248.441347772 1879.667123922]
 [1500.012637197  248.526038078 1832.273311525]
 [1500.0112511    248.63599593  1784.865776636]
 [1500.009728317  248.76774251  1737.445439054]
 [1500.008115461  248.916906077 1690.013863482]
 [1500.006462841  249.077979682 1642.573507896]
 [1500.004822629  249.244061717 1595.128053443]
 [1500.00323415   249.407250359 1547.682506046]
 [1500.           250.          1500.         ]]","[[0.34352193041682666, 0.3388184974333375, 0.338766776139571], 0.34036906799657834]"
200,"[[1500.           250.          2400.         ]
 [1500.014854707  248.763538372 2353.097734873]
 [1500.020367307  248.255730988 2305.934179839]
 [1500.024724784  247.821392643 2258.750030973]
 [1500.028013775  247.460176707 2211.543950311]
 [1500.0303176    247.171498138 2164.314619551]
 [1500.031716709  246.954485429 2117.060765269]
 [1500.032289221  246.807922312 2069.781192316]
 [1500.032111543  246.730176638 2022.474827962]
 [1500.031259103  246.719113099 1975.140780235]
 [1500.029807212  246.771985311 1927.778415153]
 [1500.027832085  246.885301211 1880.387459373]
 [1500.025412037  247.054653328 1832.968137499]
 [1500.022628883  247.274501871 1785.521357499]
 [1500.019569517  247.537893027 1738.048964409]
 [1500.016327498  247.836087655 1690.554093259]
 [1500.013003867  248.158076143 1643.041665697]
 [1500.009703486  248.490059122 1595.519049501]
 [1500.00650567   248.816239355 1547.996259006]
 [1500.           250.          1500.         ]]","[[0.3439329923606157, 0.33880455863689357, 0.3387087566364029], 0.3404821025446374]"
300,"[[1500.           250.          2400.         ]
 [1500.022351857  248.146342012 2353.331300497]
 [1500.03065376   247.385128488 2306.270399552]
 [1500.037220281  246.734089651 2259.178576373]
 [1500.042180688  246.192696986 2212.053817148]
 [1500.045659376  245.760065156 2164.894139489]
 [1500.047776551  245.434880107 2117.697630272]
 [1500.048649032  245.215311814 2070.462495729]
 [1500.048391179  245.098907801 2023.187127614]
 [1500.047115996  245.082462404 1975.870190599]
 [1500.044936423  245.161855056 1928.510737965]
 [1500.041966857  245.331848487 1881.108365354]
 [1500.038324957  245.585834151 1833.663416456]
 [1500.034133735  245.91550672  1786.177260828]
 [1500.029523926  246.31044122  1738.652674144]
 [1500.024636378  246.757535453 1691.094367329]
 [1500.019623284  247.240281428 1643.509731339]
 [1500.014642719  247.737985891 1595.909826002]
 [1500.009814653  248.226962647 1548.309676466]
 [1500.           250.          1500.         ]]","[[0.3443427787365178, 0.3387903772464267, 0.33865060572682343], 0.34059458723658936]"
400,"[[1500.           250.          2400.         ]
 [1500.029895764  247.529831422 2353.565187359]
 [1500.041009077  246.515541556 2306.607086017]
 [1500.049804949  245.648112834 2259.607713159]
 [1500.05645481   244.926829177 2212.564374603]
 [1500.061123739  244.350499809 2165.47442063 ]
 [1500.06397138   243.91736364  2118.335296474]
 [1500.065153008  243.624973182 2071.144609094]
 [1500.064820772  243.470052834 2023.900215315]
 [1500.063125159  243.448324811 1976.600338222]
 [1500.060216717  243.55429373  1929.243721193]
 [1500.056248085  243.780977692 1881.829832604]
 [1500.051376389  244.119568857 1834.359139721]
 [1500.045766034  244.558999281 1786.833478709]
 [1500.039591867  245.085376654 1739.256561233]
 [1500.033042363  245.681240071 1691.634679631]
 [1500.026321295  246.324587455 1643.977699746]
 [1500.019640474  246.987835565 1596.300378807]
 [1500.013161189  247.639415745 1548.622755093]
 [1500.           250.          1500.         ]]","[[0.34475129407906213, 0.33877595509710534, 0.3385923248450254], 0.3407065246737309]"
500,"[[1500.           250.          2400.         ]
 [1500.037486591  246.914003688 2353.799392599]
 [1500.051433506  245.646965843 2306.944234993]
 [1500.06247911   244.563456451 2260.037435793]
 [1500.070836529  243.662566215 2213.075615959]
 [1500.076711132  242.942793804 2166.055455239]
 [1500.080301682  242.401926634 2118.973755318]
 [1500.081801663  242.036896079 2071.82752325 ]
 [1500.081400847  241.843600646 2024.614081546]
 [1500.079287112  241.816688687 1977.33121348 ]
 [1500.075648597  241.949289399 1929.977355355]
 [1500.070676238  242.232676839 1882.55185202 ]
 [1500.064566757  242.655845672 1835.055298776]
 [1500.057526153  243.204968263 1787.490003383]
 [1500.049773654  243.862688794 1739.860618802]
 [1500.04154571   244.607192    1692.175024254]
 [1500.033098098  245.410986022 1644.445565988]
 [1500.024696894  246.239601551 1596.690703919]
 [1500.016545367  247.053594011 1548.935491686]
 [1500.           250.          1500.         ]]","[[0.34515854298669835, 0.3387612940097692, 0.33853391540925565], 0.34081791746857437]"
600,"[[1500.           250.          2400.         ]
 [1500.045124503  246.298855884 2354.033913395]
 [1500.061927289  244.779396982 2307.281842293]
 [1500.075243081  243.480114737 2260.467738805]
 [1500.085326229  242.399901006 2213.587534584]
 [1500.092421996  241.536938814 2166.637235682]
 [1500.096767937  240.888559657 2119.612998357]
 [1500.098595505  240.451070126 2072.511229163]
 [1500.098131922  240.219540095 2025.328716925]
 [1500.095602367  240.187542344 1978.062806892]
 [1500.091232555  240.346830062 1930.71163112 ]
 [1500.085251775  240.686933868 1883.274414652]
 [1500.077896478  241.194652743 1835.75188526 ]
 [1500.069414458  241.853402284 1788.146827245]
 [1500.060069598  242.642367004 1740.464840131]
 [1500.050146672  243.535381622 1692.715395436]
 [1500.03995389   244.49946881  1644.913325277]
 [1500.029812119  245.493277129 1597.080797472]
 [1500.019967277  246.469492664 1549.247883176]
 [1500.           250.          1500.         ]]","[[0.34556453011927996, 0.3387463957908835, 0.33847537882188], 0.34092876824401447]"
700,"[[1500.           250.          2400.         ]
 [1500.05280966   245.684385075 2354.268746958]
 [1500.072490665  243.912830592 2307.619903781]
 [1500.088097174  242.398081908 2260.898616793]
 [1500.099924288  241.138826429 2214.100123931]
 [1500.108256762  240.132926479 2167.219754422]
 [1500.113370619  239.377253237 2120.25301726 ]
 [1500.115535033  238.867484895 2073.195717923]
 [1500.115014508  238.597859989 2026.044112205]
 [1500.112071431  238.560874037 1978.795109121]
 [1500.106969077  238.746903655 1931.446539306]
 [1500.099975151  239.14373665  1883.997511703]
 [1500.091365962  239.735978137 1836.448890963]
 [1500.081431308  240.50428988  1788.803942845]
 [1500.070480004  241.424400555 1741.069218647]
 [1500.058845498  242.465799217 1693.255787556]
 [1500.046888862  243.590027384 1645.380972961]
 [1500.034986287  244.748855454 1597.470655737]
 [1500.023427006  245.887106787 1549.559926618]
 [1500.           250.          1500.         ]]","[[0.34596926019557844, 0.3387312622324923, 0.3384167164694653], 0.341039079632512]"
800,"[[1500.           250.          2400.         ]
 [1500.060542222  245.070588314 2354.503890533]
 [1500.08312387   243.047262276 2307.958415373]
 [1500.101041698  241.317352159 2261.330064424]
 [1500.11463108   239.879335338 2214.613377537]
 [1500.124215856  238.73074841  2167.803004023]
 [1500.130110195  237.867997868 2120.893803806]
 [1500.132620741  237.286129921 2073.880980747]
 [1500.132049108  236.978549087 2026.760258272]
 [1500.128694802  236.936671964 1979.52811097 ]
 [1500.122858642  237.149498054 1932.182070876]
 [1500.114846811  237.603072989 1884.721134523]
 [1500.104975614  238.279809848 1837.146307828]
 [1500.093577059  239.157619502 1789.461342878]
 [1500.081005172  240.208778627 1741.673747925]
 [1500.06764243   241.398434967 1693.796195138]
 [1500.053903203  242.682653204 1645.848504528]
 [1500.040219534  244.006329558 1597.860275111]
 [1500.026924638  245.306431329 1549.871619195]
 [1500.           250.          1500.         ]]","[[0.34637273799084717, 0.3387158951121811, 0.33835792972285583], 0.3411488542752947]"
900,"[[1500.           250.          2400.         ]
 [1500.068322346  244.457462646 2354.7393414  ]
 [1500.093827139  242.182687623 2308.297373033]
 [1500.114076958  240.237919665 2261.762076431]
 [1500.129446971  238.621420565 2215.12728902 ]
 [1500.1402997    237.330396188 2168.386977145]
 [1500.146987127  236.360784008 2121.535349885]
 [1500.149853114  235.706994698 2074.567008968]
 [1500.149236219  235.361596106 2027.477146145]
 [1500.145472969  235.314924277 1980.261803384]
 [1500.138901721  235.554601077 1932.918216938]
 [1500.129867194  236.064930623 1885.445274614]
 [1500.11872583   236.826135798 1837.844127944]
 [1500.105852057  237.813379525 1790.119020188]
 [1500.091645397  238.995490316 1742.278421682]
 [1500.076537709  240.333278956 1694.336612841]
 [1500.060997099  241.777337622 1646.315915596]
 [1500.045511994  243.265692362 1598.249652122]
 [1500.03046026   244.727461109 1550.182958208]
 [1500.           250.          1500.         ]]","[[0.34677496833445215, 0.3387002961930438, 0.3382990199372584], 0.3412580948215848]"
