Iteration,Trajectory,Legibility
1,"[[1500.           250.          2400.         ]
 [1492.105249549  250.000004771 2363.157895107]
 [1484.210507494  250.000007482 2326.315789988]
 [1476.31576641   250.000010293 2289.47368485 ]
 [1468.421026233  250.000013119 2252.631579697]
 [1460.526286903  250.000015874 2215.789474534]
 [1452.631548364  250.000018473 2178.947369362]
 [1444.73681056   250.000020829 2142.105264183]
 [1436.84207344   250.000022859 2105.263158998]
 [1428.947336954  250.000024478 2068.421053806]
 [1421.052601055  250.000025601 2031.578948607]
 [1413.157865696  250.000026145 1994.736843399]
 [1405.263130832  250.000026026 1957.894738179]
 [1397.368396418  250.000025164 1921.052632946]
 [1389.473662409  250.000023479 1884.210527697]
 [1381.578928758  250.000020897 1847.368422431]
 [1373.684195415  250.000017359 1810.526317147]
 [1365.789462324  250.000012839 1773.684211844]
 [1357.894729408  250.000007429 1736.842106528]
 [1350.           250.          1700.         ]]","[[0.33854858628224754, 0.33927195324909626, 0.33875417222707976], 0.3388582372528079]"
100,"[[1500.           250.          2400.         ]
 [1492.103902222  250.000477128 2363.157931745]
 [1484.20864411   250.000748198 2326.315840902]
 [1476.313483076  250.001029355 2289.473748147]
 [1468.418412774  250.001311976 2252.631653946]
 [1460.523427188  250.001587479 2215.789558654]
 [1452.628520604  250.001847318 2178.94746252 ]
 [1444.733687589  250.002082977 2142.105365696]
 [1436.838922962  250.002285969 2105.263268237]
 [1428.944221762  250.002447836 2068.421170119]
 [1421.049579213  250.00256015  2031.579071243]
 [1413.154990686  250.002614532 1994.736971449]
 [1405.260451651  250.002602681 1957.894870536]
 [1397.365957617  250.002516436 1921.052768279]
 [1389.47150406   250.002347909 1884.21066446 ]
 [1381.577086315  250.002089771 1847.368558898]
 [1373.682699399  250.001735975 1810.526451499]
 [1365.788337636  250.001283883 1773.684342332]
 [1357.893993459  250.000742904 1736.842231783]
 [1350.           250.          1700.         ]]","[[0.3385487417776063, 0.33927243126220985, 0.3387540303762595], 0.33885840113869187]"
200,"[[1500.           250.          2400.         ]
 [1492.102541293  250.000954302 2363.157968752]
 [1484.206761914  250.001496464 2326.315892328]
 [1476.311176691  250.002058798 2289.473812082]
 [1468.415772933  250.002624057 2252.631728943]
 [1460.520538604  250.003175076 2215.789643622]
 [1452.625462279  250.003694764 2178.947556618]
 [1444.730533093  250.00416609  2142.105468231]
 [1436.835740683  250.00457208  2105.263378578]
 [1428.941075125  250.004895814 2068.421287605]
 [1421.04652687   250.005120439 2031.579195115]
 [1413.152086658  250.005229199 1994.737100791]
 [1405.257745429  250.005205489 1957.895004228]
 [1397.363494201  250.005032989 1921.052904979]
 [1389.469323928  250.004695921 1884.210802605]
 [1381.575225277  250.00417963  1847.368696743]
 [1373.681188284  250.003472022 1810.526587208]
 [1365.787201597  250.00256782  1773.684474138]
 [1357.893250081  250.001485844 1736.842358303]
 [1350.           250.          1700.         ]]","[[0.3385488988426521, 0.33927291411925836, 0.3387538870724449], 0.3388585666781185]"
300,"[[1500.           250.          2400.         ]
 [1492.101180371  250.001431523 2363.158005758]
 [1484.204879728  250.002244797 2326.315943753]
 [1476.308870319  250.003088327 2289.473876015]
 [1468.413133106  250.003936241 2252.631803938]
 [1460.517650037  250.004762792 2215.789728588]
 [1452.622403975  250.00554234  2178.947650714]
 [1444.727378619  250.006249341 2142.105570766]
 [1436.832558426  250.006858331 2105.263488917]
 [1428.937928511  250.007343934 2068.42140509 ]
 [1421.043474549  250.00768087  2031.579318987]
 [1413.149182652  250.007844001 1994.737230133]
 [1405.255039227  250.007808424 1957.895137921]
 [1397.361030805  250.007549658 1921.053041679]
 [1389.467143813  250.007044036 1884.210940749]
 [1381.573364254  250.006269578 1847.368834588]
 [1373.679677181  250.005208141 1810.526722918]
 [1365.786065567  250.003851811 1773.684605944]
 [1357.892506708  250.00222882  1736.842484823]
 [1350.           250.          1700.         ]]","[[0.33854905590671824, 0.3392733969919031, 0.338753743748374], 0.33885873221566515]"
400,"[[1500.           250.          2400.         ]
 [1492.099819455  250.001908789 2363.158042763]
 [1484.202997552  250.002993198 2326.315995177]
 [1476.30656396   250.004117944 2289.473939947]
 [1468.410493295  250.00524853  2252.631878932]
 [1460.514761488  250.006350625 2215.789813552]
 [1452.619345689  250.007390045 2178.947744808]
 [1444.724224166  250.008332728 2142.105673298]
 [1436.829376191  250.009144724 2105.263599255]
 [1428.934781919  250.009792197 2068.421522573]
 [1421.040422251  250.01024144  2031.579442858]
 [1413.146278668  250.010458938 1994.737359473]
 [1405.252333047  250.010411486 1957.895271612]
 [1397.358567428  250.010066443 1921.053178378]
 [1389.464963715  250.009392255 1884.211078893]
 [1381.571503246  250.008359614 1847.368972434]
 [1373.678166091  250.006944332 1810.526858628]
 [1365.784929545  250.005135856 1773.68473775 ]
 [1357.891763342  250.002971831 1736.842611344]
 [1350.           250.          1700.         ]]","[[0.3385492129698051, 0.3392738798801436, 0.3387536004040455], 0.3388588977513314]"
500,"[[1500.           250.          2400.         ]
 [1492.098458547  250.002386102 2363.158079767]
 [1484.201115386  250.003741666 2326.3160466  ]
 [1476.304257614  250.005147648 2289.474003877]
 [1468.4078535    250.006560922 2252.631953923]
 [1460.511872957  250.007938577 2215.789898515]
 [1452.616287424  250.009237879 2178.9478389  ]
 [1444.721069734  250.010416252 2142.105775829]
 [1436.826193978  250.011431258 2105.263709591]
 [1428.931635351  250.012240602 2068.421640056]
 [1421.037369976  250.012802151 2031.579566728]
 [1413.143374706  250.01307401  1994.737488813]
 [1405.249626888  250.013014675 1957.895405303]
 [1397.356104071  250.012583345 1921.053315077]
 [1389.462783635  250.011740577 1884.211217036]
 [1381.569642253  250.010449739 1847.369110279]
 [1373.676655013  250.008680595 1810.526994338]
 [1365.783793533  250.006419956 1773.684869556]
 [1357.89101998   250.003714877 1736.842737866]
 [1350.           250.          1700.         ]]","[[0.33854937003191304, 0.3392743627839806, 0.33875345703946], 0.33885906328511783]"
600,"[[1500.           250.          2400.         ]
 [1492.097097644  250.00286346  2363.15811677 ]
 [1484.199233229  250.004490202 2326.316098021]
 [1476.30195128   250.006177439 2289.474067805]
 [1468.40521372   250.007873419 2252.632028913]
 [1460.508984444  250.009526647 2215.789983475]
 [1452.613229178  250.011085842 2178.94793299 ]
 [1444.717915322  250.012499913 2142.105878358]
 [1436.823011787  250.013717934 2105.263819925]
 [1428.928488804  250.014689149 2068.421757536]
 [1421.034317723  250.015363002 2031.579690596]
 [1413.140470766  250.015689218 1994.737618152]
 [1405.24692075   250.015617992 1957.895538993]
 [1397.353640734  250.015100364 1921.053451775]
 [1389.460603573  250.014089003 1884.21135518 ]
 [1381.567781276  250.012539953 1847.369248124]
 [1373.675143946  250.01041693  1810.527130048]
 [1365.78265753   250.007704109 1773.685001363]
 [1357.890276625  250.004457959 1736.842864387]
 [1350.           250.          1700.         ]]","[[0.33854952709304187, 0.33927484570341176, 0.3387533136546171], 0.33885922881702357]"
700,"[[1500.           250.          2400.         ]
 [1492.095736749  250.003340865 2363.158153772]
 [1484.197351083  250.005238806 2326.316149441]
 [1476.299644959  250.007207316 2289.474131732]
 [1468.402573955  250.009186019 2252.632103901]
 [1460.506095948  250.011114834 2215.790068434]
 [1452.610170951  250.012933934 2178.948027078]
 [1444.714760932  250.014583711 2142.105980885]
 [1436.819829618  250.016004751 2105.263930258]
 [1428.92534228   250.017137839 2068.421875016]
 [1421.031265493  250.017923993 2031.579814463]
 [1413.137566849  250.01830456  1994.73774749 ]
 [1405.244214633  250.018221435 1957.895672683]
 [1397.351177416  250.017617498 1921.053588473]
 [1389.458423528  250.016437533 1884.211493323]
 [1381.565920313  250.014630255 1847.369385969]
 [1373.673632892  250.012153336 1810.527265758]
 [1365.781521536  250.008988316 1773.68513317 ]
 [1357.889533275  250.005201076 1736.842990909]
 [1350.           250.          1700.         ]]","[[0.3385496841531915, 0.3392753286384382, 0.3387531702495184], 0.3388593943470493]"
800,"[[1500.           250.          2400.         ]
 [1492.09437586   250.003818316 2363.158190774]
 [1484.195468946  250.005987477 2326.316200859]
 [1476.297338651  250.008237281 2289.474195657]
 [1468.399934206  250.010498724 2252.632178887]
 [1460.50320747   250.01270314  2215.79015339 ]
 [1452.607112745  250.014782156 2178.948121164]
 [1444.711606563  250.016667645 2142.10608341 ]
 [1436.816647471  250.018291709 2105.26404059 ]
 [1428.922195779  250.019586672 2068.421992494]
 [1421.028213285  250.020485125 2031.57993833 ]
 [1413.134662953  250.020920038 1994.737876827]
 [1405.241508537  250.020825006 1957.895806372]
 [1397.348714117  250.02013475  1921.053725171]
 [1389.456243501  250.018786166 1884.211631466]
 [1381.564059365  250.016720645 1847.369523814]
 [1373.672121851  250.013889815 1810.527401468]
 [1365.78038555   250.010272578 1773.685264977]
 [1357.888789931  250.005944229 1736.843117431]
 [1350.           250.          1700.         ]]","[[0.33854984121236226, 0.33927581158905945, 0.3387530268241614], 0.3388595598751944]"
900,"[[1500.           250.          2400.         ]
 [1492.093014978  250.004295813 2363.158227774]
 [1484.193586819  250.006736216 2326.316252276]
 [1476.295032356  250.009267334 2289.47425958 ]
 [1468.397294472  250.011811533 2252.632253871]
 [1460.50031901   250.014291564 2215.790238345]
 [1452.604054557  250.016630506 2178.948215249]
 [1444.708452215  250.018751717 2142.106185934]
 [1436.813465346  250.020578808 2105.264150919]
 [1428.9190493    250.022035646 2068.42210997 ]
 [1421.0251611    250.023046397 2031.580062195]
 [1413.13175908   250.023535651 1994.738006164]
 [1405.238802462  250.023428704 1957.895940061]
 [1397.346250839  250.022652117 1921.053861868]
 [1389.454063491  250.021134902 1884.211769609]
 [1381.562198433  250.018811124 1847.369661659]
 [1373.670610821  250.015626365 1810.527537179]
 [1365.779249574  250.011556893 1773.685396785]
 [1357.888046592  250.006687417 1736.843243954]
 [1350.           250.          1700.         ]]","[[0.33854999827055304, 0.33927629455527547, 0.3387528833785492], 0.3388597254014592]"
