"First six seconds of movement





What object is the robot reaching for?",Rate how confident you are on your choice,"First twelve sconds of movement
 





 

What object is the robot reaching for?",Rate how confident you are on your choice,"First eighteen seconds of movement




What object is the robot reaching for?",Rate how confident you are on your choice,Did the video change your prediction?,Reference,Perspective,,6seg,12seg,18seg,,How clear were the robot's intentions in the movements?
Soda Can,7,Soda Can,9,Soda Can,9,No,Soda Can,1,,TRUE,TRUE,TRUE,,6
Soda Can,6,Soda Can,9,Soda Can,10,No,Soda Can,1,,TRUE,TRUE,TRUE,,5
Soda Can,5,Soda Can,8,Soda Can,10,No,Soda Can,1,,TRUE,TRUE,TRUE,,8
Soda Can,5,Soda Can,7,Soda Can,9,No,Soda Can,1,,TRUE,TRUE,TRUE,,6
Soda Can,9,Soda Can,9,Soda Can,10,No,Soda Can,1,,TRUE,TRUE,TRUE,,8
Soda Can,10,Soda Can,10,Soda Can,10,No,Soda Can,1,,TRUE,TRUE,TRUE,,5
Soda Can,8,Soda Can,8,Soda Can,10,No,Soda Can,1,,TRUE,TRUE,TRUE,,9
Soda Can,7,Soda Can,6,Soda Can,9,No,Soda Can,1,,TRUE,TRUE,TRUE,,6
Soda Can,10,Soda Can,10,Soda Can,10,No,Soda Can,1,,TRUE,TRUE,TRUE,,7
Soda Can,7,Soda Can,8,Soda Can,10,No,Soda Can,1,,TRUE,TRUE,TRUE,,9
Soda Can,9,Soda Can,9,Soda Can,10,No,Soda Can,1,,TRUE,TRUE,TRUE,,9
Soda Can,8,Soda Can,9,Soda Can,10,No,Soda Can,1,,TRUE,TRUE,TRUE,,9
Soda Can,7,Soda Can,8,Soda Can,10,No,Soda Can,1,,TRUE,TRUE,TRUE,,7
Soda Can,8,Soda Can,6,Soda Can,8,No,Soda Can,1,,TRUE,TRUE,TRUE,,10
Soda Can,10,Soda Can,10,Soda Can,10,No,Soda Can,1,,TRUE,TRUE,TRUE,,8
Soda Can,7,Soda Can,10,Soda Can,10,No,Soda Can,1,,TRUE,TRUE,TRUE,,9
Soda Can,7,Soda Can,8,Soda Can,9,No,Soda Can,1,,TRUE,TRUE,TRUE,,3
Soda Can,7,Soda Can,10,Soda Can,10,No,Soda Can,1,,TRUE,TRUE,TRUE,,9
Soda Can,5,Soda Can,7,Soda Can,10,No,Soda Can,1,,TRUE,TRUE,TRUE,,10
Soda Can,9,Soda Can,10,Soda Can,10,No,Soda Can,1,,TRUE,TRUE,TRUE,,7
